Time,Node,PortIndex,DropPacket
+1037400000.0ns,s4,3,1396
+1037500000.0ns,s4,3,1396
+1037600000.0ns,s4,3,1396
+1037700000.0ns,s4,3,1396
+1037800000.0ns,s4,3,1396
+1037900000.0ns,s4,3,1396
+1038000000.0ns,s4,3,1396
+1038100000.0ns,s4,3,1396
+1038200000.0ns,s4,3,1396
+1038300000.0ns,s4,3,1396
+1038400000.0ns,s4,3,1396
+1038500000.0ns,s4,3,1396
+1038600000.0ns,s4,3,1396
+1038700000.0ns,s4,3,1396
+1038800000.0ns,s4,3,1396
+1038900000.0ns,s4,3,1396
+1039000000.0ns,s4,3,1396
+1039100000.0ns,s4,3,1396
+1039200000.0ns,s4,3,1396
+1039300000.0ns,s4,3,1396
+1039400000.0ns,s4,3,1396
+1039500000.0ns,s4,3,1396
+1039600000.0ns,s4,3,1396
+1039700000.0ns,s4,3,1396
+1039800000.0ns,s4,3,1396
+1039900000.0ns,s4,3,1396
+1040000000.0ns,s4,3,1396
+1040100000.0ns,s4,3,1396
+1040200000.0ns,s4,3,1396
+1040300000.0ns,s4,3,1396
+1040400000.0ns,s4,3,1396
+1040500000.0ns,s4,3,1396
+1040600000.0ns,s4,3,1396
+1040700000.0ns,s4,3,1396
+1040800000.0ns,s4,3,1396
+1040900000.0ns,s4,3,1396
+1041000000.0ns,s4,3,1396
+1041100000.0ns,s4,3,1396
+1041200000.0ns,s4,3,1396
+1041300000.0ns,s4,3,1396
+1041400000.0ns,s4,3,1396
+1041500000.0ns,s4,3,1396
+1041600000.0ns,s4,3,1396
+1041700000.0ns,s4,3,1396
+1041800000.0ns,s4,3,1396
+1041900000.0ns,s4,3,1396
+1042000000.0ns,s4,3,1396
+1042100000.0ns,s4,3,1396
+1042200000.0ns,s4,3,1396
+1042300000.0ns,s4,3,1396
+1042400000.0ns,s4,3,1396
+1042500000.0ns,s4,3,1396
+1042600000.0ns,s4,3,1396
+1042700000.0ns,s4,3,1396
+1042800000.0ns,s4,3,1396
+1042900000.0ns,s4,3,1396
+1043000000.0ns,s4,3,1396
+1043100000.0ns,s4,3,1396
+1043200000.0ns,s4,3,1396
+1043300000.0ns,s4,3,1396
+1043400000.0ns,s4,3,1396
+1043500000.0ns,s4,3,1396
+1043600000.0ns,s4,3,1396
+1043700000.0ns,s4,3,1396
+1043800000.0ns,s4,3,1396
+1043900000.0ns,s4,3,1396
+1044000000.0ns,s4,3,1396
+1044100000.0ns,s4,3,1396
+1044200000.0ns,s4,3,1396
+1044300000.0ns,s4,3,1396
+1044400000.0ns,s4,3,1396
+1044500000.0ns,s4,3,1396
+1044600000.0ns,s4,3,1396
+1044700000.0ns,s4,3,1396
+1044800000.0ns,s4,3,1396
+1044900000.0ns,s4,3,1396
+1045000000.0ns,s4,3,1396
+1045100000.0ns,s4,3,1396
+1045200000.0ns,s4,3,1396
+1045300000.0ns,s4,3,1396
+1045400000.0ns,s4,3,1396
+1045500000.0ns,s4,3,1396
+1045600000.0ns,s4,3,1396
+1045700000.0ns,s4,3,1396
+1045800000.0ns,s4,3,1396
+1045900000.0ns,s4,3,1396
+1046000000.0ns,s4,3,1396
+1046100000.0ns,s4,3,1396
+1046200000.0ns,s4,3,1396
+1046300000.0ns,s4,3,1396
+1046400000.0ns,s4,3,1396
+1046500000.0ns,s4,3,1396
+1046600000.0ns,s4,3,1396
+1046700000.0ns,s4,3,1396
+1046800000.0ns,s4,3,1396
+1046900000.0ns,s4,3,1396
+1047000000.0ns,s4,3,1396
+1047100000.0ns,s4,3,1396
+1047200000.0ns,s4,3,1396
+1047300000.0ns,s4,3,1396
+1047400000.0ns,s4,3,1396
+1047500000.0ns,s4,3,1396
+1047600000.0ns,s4,3,1396
+1047700000.0ns,s4,3,1396
+1047800000.0ns,s4,3,1396
+1047900000.0ns,s4,3,1396
+1048000000.0ns,s4,3,1396
+1048100000.0ns,s4,3,1396
+1048200000.0ns,s4,3,1396
+1048300000.0ns,s4,3,1396
+1048400000.0ns,s4,3,1396
+1048500000.0ns,s4,3,1396
+1048600000.0ns,s4,3,1396
+1048700000.0ns,s4,3,1396
+1048800000.0ns,s4,3,1396
+1048900000.0ns,s4,3,1396
+1049000000.0ns,s4,3,1396
+1049100000.0ns,s4,3,1396
+1049200000.0ns,s4,3,1396
+1049300000.0ns,s4,3,1396
+1049400000.0ns,s4,3,1396
+1049500000.0ns,s4,3,1396
+1049600000.0ns,s4,3,1396
+1049700000.0ns,s4,3,1396
+1049800000.0ns,s4,3,1396
+1049900000.0ns,s4,3,1396
+1050000000.0ns,s4,3,1396
+1050100000.0ns,s4,3,1396
+1050200000.0ns,s4,3,1396
+1050300000.0ns,s4,3,1396
+1050400000.0ns,s4,3,1396
+1050500000.0ns,s4,3,1396
+1050600000.0ns,s4,3,1396
+1050700000.0ns,s4,3,1396
+1050800000.0ns,s4,3,1396
+1050900000.0ns,s4,3,1396
+1051000000.0ns,s4,3,1396
+1051100000.0ns,s4,3,1396
+1051200000.0ns,s4,3,1396
+1051300000.0ns,s4,3,1396
+1051400000.0ns,s4,3,1396
+1051500000.0ns,s4,3,1396
+1051600000.0ns,s4,3,1396
+1051700000.0ns,s4,3,1396
+1051800000.0ns,s4,3,1396
+1051900000.0ns,s4,3,1396
+1052000000.0ns,s4,3,1396
+1052100000.0ns,s4,3,1396
+1052200000.0ns,s4,3,1396
+1052300000.0ns,s4,3,1396
+1052400000.0ns,s4,3,1396
+1052500000.0ns,s4,3,1396
+1052600000.0ns,s4,3,1396
+1052700000.0ns,s4,3,1396
+1052800000.0ns,s4,3,1396
+1052900000.0ns,s4,3,1396
+1053000000.0ns,s4,3,1396
+1053100000.0ns,s4,3,1396
+1053200000.0ns,s4,3,1396
+1053300000.0ns,s4,3,1396
+1053400000.0ns,s4,3,1396
+1053500000.0ns,s4,3,1396
+1053600000.0ns,s4,3,1396
+1053700000.0ns,s4,3,1396
+1053800000.0ns,s4,3,1396
+1053900000.0ns,s4,3,1396
+1054000000.0ns,s4,3,1396
+1054100000.0ns,s4,3,1396
+1054200000.0ns,s4,3,1396
+1054300000.0ns,s4,3,1396
+1054400000.0ns,s4,3,1396
+1054500000.0ns,s4,3,1396
+1054600000.0ns,s4,3,1396
+1054700000.0ns,s4,3,1396
+1054800000.0ns,s4,3,1396
+1054900000.0ns,s4,3,1396
+1055000000.0ns,s4,3,1396
+1055100000.0ns,s4,3,1396
+1055200000.0ns,s4,3,1396
+1055300000.0ns,s4,3,1396
+1055400000.0ns,s4,3,1396
+1055500000.0ns,s4,3,1396
