Time,Node,PortIndex,DropPacket
+1005800000.0ns,s1,1,400
+1005800000.0ns,s1,2,466
+1005800000.0ns,s1,3,627
+1005900000.0ns,s1,1,1240
+1005900000.0ns,s1,2,1068
+1005900000.0ns,s1,3,866
+1006000000.0ns,s1,1,2081
+1006000000.0ns,s1,2,1068
+1006000000.0ns,s1,3,1453
+1006100000.0ns,s1,1,2921
+1006100000.0ns,s1,2,1068
+1006100000.0ns,s1,3,1453
+1006200000.0ns,s1,1,3761
+1006200000.0ns,s1,2,1068
+1006200000.0ns,s1,3,1456
+1006300000.0ns,s1,1,4601
+1006300000.0ns,s1,2,1068
+1006300000.0ns,s1,3,1456
+1006400000.0ns,s1,1,5430
+1006400000.0ns,s1,2,1068
+1006400000.0ns,s1,3,1482
+1006500000.0ns,s1,1,6271
+1006500000.0ns,s1,2,1068
+1006500000.0ns,s1,3,1485
+1006600000.0ns,s1,1,6360
+1006600000.0ns,s1,2,1370
+1006600000.0ns,s1,3,1488
+1006700000.0ns,s1,1,6360
+1006700000.0ns,s1,2,1373
+1006700000.0ns,s1,3,1488
+1006800000.0ns,s1,1,6390
+1006800000.0ns,s1,2,1462
+1006800000.0ns,s1,3,1488
+1006900000.0ns,s1,1,6390
+1006900000.0ns,s1,2,1462
+1006900000.0ns,s1,3,1488
+1007000000.0ns,s1,1,6390
+1007000000.0ns,s1,2,1462
+1007000000.0ns,s1,3,1488
+1007100000.0ns,s1,1,6390
+1007100000.0ns,s1,2,1462
+1007100000.0ns,s1,3,1488
+1007200000.0ns,s1,1,6390
+1007200000.0ns,s1,2,1462
+1007200000.0ns,s1,3,1488
+1007300000.0ns,s1,1,6390
+1007300000.0ns,s1,2,1462
+1007300000.0ns,s1,3,1488
+1007400000.0ns,s1,1,6390
+1007400000.0ns,s1,2,1462
+1007400000.0ns,s1,3,1488
+1007500000.0ns,s1,1,6390
+1007500000.0ns,s1,2,1462
+1007500000.0ns,s1,3,1488
+1007600000.0ns,s1,1,6390
+1007600000.0ns,s1,2,1462
+1007600000.0ns,s1,3,1488
+1007700000.0ns,s1,1,6390
+1007700000.0ns,s1,2,1462
+1007700000.0ns,s1,3,1488
+1007800000.0ns,s1,1,6390
+1007800000.0ns,s1,2,1462
+1007800000.0ns,s1,3,1488
+1007900000.0ns,s1,1,6390
+1007900000.0ns,s1,2,1462
+1007900000.0ns,s1,3,1488
+1008000000.0ns,s1,1,6390
+1008000000.0ns,s1,2,1462
+1008000000.0ns,s1,3,1488
+1008100000.0ns,s1,1,6390
+1008100000.0ns,s1,2,1861
+1008100000.0ns,s1,3,1733
+1008200000.0ns,s1,1,6782
+1008200000.0ns,s1,2,2701
+1008200000.0ns,s1,3,2182
+1008300000.0ns,s1,1,7623
+1008300000.0ns,s1,2,3147
+1008300000.0ns,s1,3,2183
+1008400000.0ns,s1,1,8311
+1008400000.0ns,s1,2,3580
+1008400000.0ns,s1,3,2329
+1008500000.0ns,s1,1,8539
+1008500000.0ns,s1,2,3580
+1008500000.0ns,s1,3,2752
+1008600000.0ns,s1,1,9251
+1008600000.0ns,s1,2,3580
+1008600000.0ns,s1,3,3045
+1008700000.0ns,s1,1,9807
+1008700000.0ns,s1,2,3581
+1008700000.0ns,s1,3,3122
+1008800000.0ns,s1,1,9810
+1008800000.0ns,s1,2,3581
+1008800000.0ns,s1,3,3122
+1008900000.0ns,s1,1,9810
+1008900000.0ns,s1,2,3581
+1008900000.0ns,s1,3,3122
+1009000000.0ns,s1,1,9810
+1009000000.0ns,s1,2,3581
+1009000000.0ns,s1,3,3122
+1009100000.0ns,s1,1,9810
+1009100000.0ns,s1,2,3581
+1009100000.0ns,s1,3,3122
+1009200000.0ns,s1,1,9810
+1009200000.0ns,s1,2,3581
+1009200000.0ns,s1,3,3122
+1009300000.0ns,s1,1,9810
+1009300000.0ns,s1,2,3581
+1009300000.0ns,s1,3,3122
+1009400000.0ns,s1,1,9810
+1009400000.0ns,s1,2,3581
+1009400000.0ns,s1,3,3122
+1009500000.0ns,s1,1,9810
+1009500000.0ns,s1,2,3581
+1009500000.0ns,s1,3,3122
+1009600000.0ns,s1,1,9810
+1009600000.0ns,s1,2,3581
+1009600000.0ns,s1,3,3122
+1009700000.0ns,s1,1,9810
+1009700000.0ns,s1,2,3581
+1009700000.0ns,s1,3,3245
+1009800000.0ns,s1,1,9810
+1009800000.0ns,s1,2,3581
+1009800000.0ns,s1,3,4013
+1009900000.0ns,s1,1,9810
+1009900000.0ns,s1,2,3581
+1009900000.0ns,s1,3,4805
+1010000000.0ns,s1,1,9811
+1010000000.0ns,s1,2,4161
+1010000000.0ns,s1,3,5065
+1010100000.0ns,s1,1,9830
+1010100000.0ns,s1,2,4467
+1010100000.0ns,s1,3,5470
+1010200000.0ns,s1,1,10671
+1010200000.0ns,s1,2,4796
+1010200000.0ns,s1,3,5471
+1010300000.0ns,s1,1,11372
+1010300000.0ns,s1,2,4854
+1010300000.0ns,s1,3,5736
+1010400000.0ns,s1,1,11373
+1010400000.0ns,s1,2,5214
+1010400000.0ns,s1,3,5859
+1010500000.0ns,s1,1,11373
+1010500000.0ns,s1,2,5214
+1010500000.0ns,s1,3,5859
+1010600000.0ns,s1,1,11373
