FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h2,h21,2,12,647,0,+1002345741.0ns,+1004637742.0ns,2292001
h11,h7,1,12,1074,0,+1004569652.0ns,+1004638355.0ns,68703
h12,h20,2,14,32486,0,+1003052614.0ns,+1004638391.0ns,1585777
h11,h21,2,19,680,0,+1003396029.0ns,+1004639347.0ns,1243318
h9,h23,2,16,452,0,+1003119698.0ns,+1004639364.0ns,1519666
h12,h7,1,9,410,0,+1004577094.0ns,+1004642159.0ns,65065
h12,h16,1,9,1680,0,+1004121946.0ns,+1004643059.0ns,521113
h16,h21,2,10,273,0,+1003034352.0ns,+1004643299.0ns,1608947
h5,h21,2,17,993,0,+1003111942.0ns,+1004643382.0ns,1531440
h11,h22,2,14,47364,0,+1003671081.0ns,+1004645413.0ns,974332
h25,h23,3,5,43025,0,+1004214310.0ns,+1004648137.0ns,433827
h18,h21,3,11,42413,0,+1004068354.0ns,+1004648536.0ns,580182
h15,h21,2,7,368,0,+1003104364.0ns,+1004648569.0ns,1544205
h6,h5,1,22,247026,0,+1004610355.0ns,+1004650098.0ns,39743
h16,h4,1,12,1214,0,+1004644145.0ns,+1004650751.0ns,6606
h4,h21,2,14,49234,0,+1002844350.0ns,+1004655475.0ns,1811125
h4,h12,1,12,344,0,+1004145337.0ns,+1004655684.0ns,510347
h30,h20,3,13,733,0,+1003904084.0ns,+1004656066.0ns,751982
h8,h11,1,9,876,0,+1004649745.0ns,+1004656189.0ns,6444
h6,h7,1,9,681,0,+1004651950.0ns,+1004656321.0ns,4371
h24,h27,3,9,876,0,+1004649745.0ns,+1004656374.0ns,6629
h4,h9,1,13,474,0,+1004150899.0ns,+1004656524.0ns,505625
h5,h7,1,15,420,0,+1004652381.0ns,+1004657014.0ns,4633
h6,h21,2,16,540,0,+1003247229.0ns,+1004657069.0ns,1409840
h11,h21,2,12,745,0,+1002737588.0ns,+1004657489.0ns,1919901
h25,h21,3,7,673,0,+1003948413.0ns,+1004657546.0ns,709133
h28,h21,3,13,656,0,+1004003287.0ns,+1004657602.0ns,654315
h22,h18,3,13,1146213,0,+1004390254.0ns,+1004657964.0ns,267710
h17,h26,3,9,3065,0,+1004653157.0ns,+1004660488.0ns,7331
h32,h18,3,7,18398,0,+1004570448.0ns,+1004660905.0ns,90457
h7,h22,2,15,27605,0,+1003483561.0ns,+1004661132.0ns,1177571
h18,h23,3,5,411,0,+1004514341.0ns,+1004661502.0ns,147161
h27,h21,3,12,554,0,+1004065825.0ns,+1004661934.0ns,596109
