Time,Node,PortIndex,RxByte
+1000000000.0ns,s44,0,0
+1000100000.0ns,s44,0,0
+1000200000.0ns,s44,0,0
+1000300000.0ns,s44,0,0
+1000400000.0ns,s44,0,0
+1000500000.0ns,s44,0,0
+1000600000.0ns,s44,0,0
+1000700000.0ns,s44,0,1627050
+1000800000.0ns,s44,0,3765826
+1000900000.0ns,s44,0,5157270
+1001000000.0ns,s44,0,6515555
+1001100000.0ns,s44,0,7429580
+1001200000.0ns,s44,0,8829365
+1001300000.0ns,s44,0,10089365
+1001400000.0ns,s44,0,11349365
+1001500000.0ns,s44,0,12610865
+1001600000.0ns,s44,0,14754282
+1001700000.0ns,s44,0,18345675
+1001800000.0ns,s44,0,20867175
+1001900000.0ns,s44,0,24155400
+1002000000.0ns,s44,0,28566465
+1002100000.0ns,s44,0,32913118
+1002200000.0ns,s44,0,36461971
+1002300000.0ns,s44,0,39953700
+1002400000.0ns,s44,0,43969643
+1002500000.0ns,s44,0,48358643
+1002600000.0ns,s44,0,53282843
+1002700000.0ns,s44,0,58324343
+1002800000.0ns,s44,0,63173698
+1002900000.0ns,s44,0,67536661
+1003000000.0ns,s44,0,71318368
+1003100000.0ns,s44,0,74973418
+1003200000.0ns,s44,0,77973782
+1003300000.0ns,s44,0,80651802
+1003400000.0ns,s44,0,83385806
+1003500000.0ns,s44,0,86154192
+1003600000.0ns,s44,0,89145192
+1003700000.0ns,s44,0,92388068
+1003800000.0ns,s44,0,95540506
+1003900000.0ns,s44,0,98086726
+1004000000.0ns,s44,0,100072726
+1004100000.0ns,s44,0,102570874
+1004200000.0ns,s44,0,106398724
+1004300000.0ns,s44,0,110623843
+1004400000.0ns,s44,0,114313427
+1004500000.0ns,s44,0,118071605
+1004600000.0ns,s44,0,120586270
+1004700000.0ns,s44,0,123132823
+1004800000.0ns,s44,0,125614071
+1004900000.0ns,s44,0,127152863
+1005000000.0ns,s44,0,129672036
+1005100000.0ns,s44,0,130829482
+1005200000.0ns,s44,0,132098482
+1005300000.0ns,s44,0,134517982
+1005400000.0ns,s44,0,137456482
+1005500000.0ns,s44,0,140310009
+1005600000.0ns,s44,0,142892716
+1005700000.0ns,s44,0,145346371
+1005800000.0ns,s44,0,148254852
+1005900000.0ns,s44,0,151010988
+1006000000.0ns,s44,0,153988081
+1006100000.0ns,s44,0,156896581
+1006200000.0ns,s44,0,159481036
+1006300000.0ns,s44,0,162668223
+1006400000.0ns,s44,0,165761223
+1006500000.0ns,s44,0,169182723
+1006600000.0ns,s44,0,171988503
+1006700000.0ns,s44,0,174279003
+1006800000.0ns,s44,0,176176613
+1006900000.0ns,s44,0,179150316
+1007000000.0ns,s44,0,182893874
+1007100000.0ns,s44,0,185781323
