FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h13,h20,2,1,54747,0,+1000604294.0ns,+1001024116.0ns,419822
h8,h22,2,1,25891,0,+1000659709.0ns,+1001074784.0ns,415075
h4,h23,2,1,1579544,0,+1000546947.0ns,+1001215116.0ns,668169
h16,h23,2,1,3332655,0,+1000526348.0ns,+1001340967.0ns,814619
h6,h23,2,1,75678,0,+1000947499.0ns,+1001364641.0ns,417142
h3,h23,2,1,51138,0,+1000996108.0ns,+1001411233.0ns,415125
h12,h23,2,1,30662,0,+1001282415.0ns,+1001698343.0ns,415928
h5,h22,2,1,67676,0,+1001306856.0ns,+1001728896.0ns,422040
h9,h22,2,1,1837985,0,+1001181727.0ns,+1001751786.0ns,570059
h10,h21,2,1,171512,0,+1001598235.0ns,+1002023253.0ns,425018
h15,h22,2,1,74158,0,+1001758345.0ns,+1002175362.0ns,417017
h10,h21,2,2,28183,0,+1001791975.0ns,+1002207431.0ns,415456
h6,h21,2,1,5579491,0,+1001625204.0ns,+1002496989.0ns,871785
h2,h21,2,1,25050,0,+1002589471.0ns,+1003004410.0ns,414939
h5,h20,2,1,1558042,0,+1002473114.0ns,+1003012078.0ns,538964
h14,h22,2,1,346951,0,+1002573327.0ns,+1003014823.0ns,441496
h6,h22,2,1,5696161,0,+1002664667.0ns,+1003543712.0ns,879045
h12,h23,2,2,32029,0,+1003385130.0ns,+1003798702.0ns,413572
h15,h23,2,1,871871,0,+1003481250.0ns,+1004035425.0ns,554175
h13,h22,2,1,66648,0,+1003637770.0ns,+1004072661.0ns,434891
h6,h20,2,1,2306517,0,+1003215498.0ns,+1004095078.0ns,879580
h13,h21,2,1,6713,0,+1003639857.0ns,+1004115623.0ns,475766
h1,h20,2,1,1298317,0,+1003396228.0ns,+1004152631.0ns,756403
h14,h23,2,1,57885,0,+1003756494.0ns,+1004185631.0ns,429137
h3,h22,2,1,5154710,0,+1003384940.0ns,+1004688949.0ns,1304009
h3,h22,2,2,4965148,0,+1003410752.0ns,+1004699180.0ns,1288428
h1,h23,2,1,287095,0,+1004325079.0ns,+1004759596.0ns,434517
h7,h20,2,1,18523650,0,+1002795579.0ns,+1005025090.0ns,2229511
h11,h22,2,1,5929360,0,+1004357425.0ns,+1005261206.0ns,903781
h1,h20,2,2,67771,0,+1004835434.0ns,+1005262882.0ns,427448
h8,h23,2,1,26049,0,+1004902664.0ns,+1005317771.0ns,415107
h11,h23,2,1,112055,0,+1005075411.0ns,+1005504692.0ns,429281
h1,h22,2,1,936,0,+1005222476.0ns,+1005633239.0ns,410763
h8,h22,2,2,49764,0,+1005400281.0ns,+1005818371.0ns,418090
h16,h20,2,1,2150834,0,+1004916512.0ns,+1005857573.0ns,941061
h9,h21,2,1,1197046,0,+1005363629.0ns,+1005980507.0ns,616878
h9,h21,2,2,745225,0,+1005516712.0ns,+1006095044.0ns,578332
h12,h21,2,1,76,0,+1005706792.0ns,+1006116929.0ns,410137
h7,h21,2,1,71594,0,+1005779813.0ns,+1006196619.0ns,416806
h13,h20,2,2,3959297,0,+1004881785.0ns,+1006277565.0ns,1395780
h6,h20,2,2,9757597,0,+1004667772.0ns,+1006470783.0ns,1803011
h8,h23,2,2,24391,0,+1006104390.0ns,+1006517315.0ns,412925
h15,h20,2,1,2745349,0,+1005494742.0ns,+1006613936.0ns,1119194
h12,h21,2,2,4028083,0,+1005917573.0ns,+1006659547.0ns,741974
h2,h20,2,1,35040,0,+1006248860.0ns,+1006664924.0ns,416064
h1,h22,2,2,18213,0,+1006307001.0ns,+1006719435.0ns,412434
h13,h23,2,1,144304,0,+1006411775.0ns,+1006834556.0ns,422781
h10,h20,2,1,4114136,0,+1006249391.0ns,+1007000775.0ns,751384
h3,h20,2,1,23861,0,+1006590635.0ns,+1007003518.0ns,412883
h14,h20,2,1,61069,0,+1007447224.0ns,+1007868078.0ns,420854
h7,h22,2,1,2095384,0,+1007242503.0ns,+1007997778.0ns,755275
h10,h21,2,3,34010,0,+1007667940.0ns,+1008081657.0ns,413717
h8,h22,2,3,5363,0,+1007551581.0ns,+1008130429.0ns,578848
h15,h22,2,2,9824303,0,+1006789187.0ns,+1008180141.0ns,1390954
h15,h22,2,3,74909,0,+1007863883.0ns,+1008280961.0ns,417078
