Time,Node,IfIndex,qIndex,PfcType,Time
+1012555163.0ns,s43,0,0,R,0
+1012555191.0ns,s43,0,0,P,0
+1012555204.0ns,s43,0,0,R,0
+1012555220.0ns,s43,0,0,P,0
+1012559369.0ns,s43,0,0,R,0
+1012563254.0ns,s43,0,0,P,0
+1012563255.0ns,s43,0,0,R,0
+1012563283.0ns,s43,0,0,P,0
+1012563296.0ns,s43,0,0,R,0
+1012563312.0ns,s43,0,0,P,0
+1012567461.0ns,s43,0,0,R,0
+1012571346.0ns,s43,0,0,P,0
+1012571347.0ns,s43,0,0,R,0
+1012571375.0ns,s43,0,0,P,0
+1012571388.0ns,s43,0,0,R,0
+1012571404.0ns,s43,0,0,P,0
+1012575553.0ns,s43,0,0,R,0
+1012579438.0ns,s43,0,0,P,0
+1012579439.0ns,s43,0,0,R,0
+1012579467.0ns,s43,0,0,P,0
+1012579480.0ns,s43,0,0,R,0
+1012579496.0ns,s43,0,0,P,0
+1012583645.0ns,s43,0,0,R,0
+1012587530.0ns,s43,0,0,P,0
+1012587531.0ns,s43,0,0,R,0
+1012587559.0ns,s43,0,0,P,0
+1012587572.0ns,s43,0,0,R,0
+1012587588.0ns,s43,0,0,P,0
+1012591737.0ns,s43,0,0,R,0
+1012595622.0ns,s43,0,0,P,0
+1012595623.0ns,s43,0,0,R,0
+1012595651.0ns,s43,0,0,P,0
+1012595664.0ns,s43,0,0,R,0
+1012595680.0ns,s43,0,0,P,0
+1012599829.0ns,s43,0,0,R,0
+1012603714.0ns,s43,0,0,P,0
+1012603715.0ns,s43,0,0,R,0
+1012603743.0ns,s43,0,0,P,0
+1012603756.0ns,s43,0,0,R,0
+1012603772.0ns,s43,0,0,P,0
+1012607921.0ns,s43,0,0,R,0
+1012611806.0ns,s43,0,0,P,0
+1012611807.0ns,s43,0,0,R,0
+1012611835.0ns,s43,0,0,P,0
+1012611848.0ns,s43,0,0,R,0
+1012611864.0ns,s43,0,0,P,0
+1012616013.0ns,s43,0,0,R,0
+1012619898.0ns,s43,0,0,P,0
+1012619899.0ns,s43,0,0,R,0
+1012619927.0ns,s43,0,0,P,0
+1012619940.0ns,s43,0,0,R,0
+1012619956.0ns,s43,0,0,P,0
+1012624105.0ns,s43,0,0,R,0
+1012627990.0ns,s43,0,0,P,0
+1012627991.0ns,s43,0,0,R,0
+1012628019.0ns,s43,0,0,P,0
+1012628032.0ns,s43,0,0,R,0
+1012628048.0ns,s43,0,0,P,0
+1012632197.0ns,s43,0,0,R,0
+1012636082.0ns,s43,0,0,P,0
+1012636083.0ns,s43,0,0,R,0
+1012636111.0ns,s43,0,0,P,0
+1012636124.0ns,s43,0,0,R,0
+1012636140.0ns,s43,0,0,P,0
+1012640289.0ns,s43,0,0,R,0
+1012644174.0ns,s43,0,0,P,0
+1012644175.0ns,s43,0,0,R,0
+1012644203.0ns,s43,0,0,P,0
+1012644216.0ns,s43,0,0,R,0
+1012644232.0ns,s43,0,0,P,0
+1012648381.0ns,s43,0,0,R,0
+1012652266.0ns,s43,0,0,P,0
+1012652267.0ns,s43,0,0,R,0
+1012652295.0ns,s43,0,0,P,0
+1012652308.0ns,s43,0,0,R,0
+1012652324.0ns,s43,0,0,P,0
+1012656473.0ns,s43,0,0,R,0
+1012660358.0ns,s43,0,0,P,0
+1012660359.0ns,s43,0,0,R,0
+1012660387.0ns,s43,0,0,P,0
+1012660400.0ns,s43,0,0,R,0
+1012660416.0ns,s43,0,0,P,0
+1012664620.0ns,s43,0,0,R,0
+1012668534.0ns,s43,0,0,P,0
+1012668547.0ns,s43,0,0,R,0
+1012668563.0ns,s43,0,0,P,0
+1012672712.0ns,s43,0,0,R,0
+1012676626.0ns,s43,0,0,P,0
+1012676639.0ns,s43,0,0,R,0
+1012676655.0ns,s43,0,0,P,0
+1012680804.0ns,s43,0,0,R,0
+1012684718.0ns,s43,0,0,P,0
+1012684731.0ns,s43,0,0,R,0
+1012684747.0ns,s43,0,0,P,0
+1012688896.0ns,s43,0,0,R,0
