FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h13,h18,2,1,54747,0,+1000258983.0ns,+1000678736.0ns,419753
h8,h25,2,1,25891,0,+1000282732.0ns,+1000697827.0ns,415095
h4,h30,2,1,1579544,0,+1000234405.0ns,+1000775144.0ns,540739
h6,h32,2,1,75678,0,+1000406071.0ns,+1000823236.0ns,417165
h3,h29,2,1,51138,0,+1000426903.0ns,+1000846180.0ns,419277
h16,h29,2,1,3332655,0,+1000225577.0ns,+1000921218.0ns,695641
h12,h32,2,1,30662,0,+1000549606.0ns,+1000963049.0ns,413443
h5,h28,2,1,67676,0,+1000560081.0ns,+1000976564.0ns,416483
h9,h26,2,1,1837985,0,+1000506454.0ns,+1001068427.0ns,561973
h10,h23,2,1,171512,0,+1000684958.0ns,+1001109976.0ns,425018
h15,h26,2,1,74158,0,+1000753576.0ns,+1001170593.0ns,417017
h10,h21,2,1,28183,0,+1000767989.0ns,+1001183548.0ns,415559
h2,h21,2,1,25050,0,+1001109773.0ns,+1001529282.0ns,419509
h14,h25,2,1,346951,0,+1001102854.0ns,+1001558511.0ns,455657
h6,h21,2,1,5579491,0,+1000696516.0ns,+1001699968.0ns,1003452
h5,h20,2,1,1558042,0,+1001059906.0ns,+1001728497.0ns,668591
h12,h32,2,2,32029,0,+1001450769.0ns,+1001869920.0ns,419151
h13,h23,2,1,6713,0,+1001559938.0ns,+1001973769.0ns,413831
h13,h27,2,1,66648,0,+1001559044.0ns,+1001982023.0ns,422979
h14,h32,2,1,57885,0,+1001609925.0ns,+1002036422.0ns,426497
h15,h30,2,1,871871,0,+1001491964.0ns,+1002135384.0ns,643420
h1,h20,2,1,1298317,0,+1001455526.0ns,+1002169349.0ns,713823
h6,h19,2,1,2306517,0,+1001378070.0ns,+1002196420.0ns,818350
h6,h26,2,1,5696161,0,+1001142000.0ns,+1002259505.0ns,1117505
h1,h31,2,1,287095,0,+1001853605.0ns,+1002338875.0ns,485270
h1,h17,2,1,67771,0,+1002072328.0ns,+1002666078.0ns,593750
h8,h29,2,1,26049,0,+1002101141.0ns,+1002758390.0ns,657249
h11,h32,2,1,112055,0,+1002175176.0ns,+1003000091.0ns,824915
h3,h28,2,1,4965148,0,+1001461750.0ns,+1003070276.0ns,1608526
h3,h27,2,1,5154710,0,+1001450688.0ns,+1003224166.0ns,1773478
h11,h25,2,1,5929360,0,+1001867468.0ns,+1003231325.0ns,1363857
h1,h27,2,1,936,0,+1002238203.0ns,+1003245966.0ns,1007763
h16,h17,2,1,2150834,0,+1002107075.0ns,+1003349728.0ns,1242653
h8,h27,2,1,49764,0,+1002314405.0ns,+1003390543.0ns,1076138
h12,h24,2,1,76,0,+1002445767.0ns,+1003414243.0ns,968476
h9,h23,2,1,745225,0,+1002364304.0ns,+1003446096.0ns,1081792
h9,h24,2,1,1197046,0,+1002298697.0ns,+1003490610.0ns,1191913
h1,h27,2,2,18213,0,+1002702999.0ns,+1003544572.0ns,841573
h2,h19,2,1,35040,0,+1002678082.0ns,+1003546385.0ns,868303
h7,h24,2,1,71594,0,+1002477062.0ns,+1003560887.0ns,1083825
h13,h19,2,1,3959297,0,+1002092193.0ns,+1003563800.0ns,1471607
h8,h31,2,1,24391,0,+1002616166.0ns,+1003694208.0ns,1078042
h13,h32,2,1,144304,0,+1002747903.0ns,+1003702012.0ns,954109
h15,h19,2,1,2745349,0,+1002354889.0ns,+1003731399.0ns,1376510
h3,h20,2,1,23861,0,+1002824557.0ns,+1003819280.0ns,994723
h8,h27,2,2,5363,0,+1003236391.0ns,+1003923072.0ns,686681
h7,h20,2,1,18523650,0,+1001198105.0ns,+1003973812.0ns,2775707
h14,h20,2,1,61069,0,+1003191666.0ns,+1003978834.0ns,787168
h10,h23,2,2,34010,0,+1003286259.0ns,+1004043049.0ns,756790
h6,h18,2,1,9757597,0,+1002000473.0ns,+1004059514.0ns,2059041
h11,h19,2,1,7270,0,+1003446752.0ns,+1004183832.0ns,737080
h10,h22,2,1,97629,0,+1003554547.0ns,+1004189908.0ns,635361
h15,h26,2,3,74909,0,+1003370235.0ns,+1004200491.0ns,830256
h6,h25,2,1,60382,0,+1003599349.0ns,+1004237456.0ns,638107
h13,h29,2,1,116458,0,+1003470959.0ns,+1004244099.0ns,773140
h7,h26,2,1,2095384,0,+1003103929.0ns,+1004249176.0ns,1145247
h3,h24,2,1,109898,0,+1003517507.0ns,+1004305880.0ns,788373
h12,h21,2,1,4028083,0,+1002536102.0ns,+1004321237.0ns,1785135
h4,h22,2,1,225485,0,+1003573742.0ns,+1004547285.0ns,973543
h12,h27,2,1,1065614,0,+1003495252.0ns,+1004594857.0ns,1099605
h10,h19,2,1,4114136,0,+1002678310.0ns,+1004628687.0ns,1950377
h5,h32,2,1,193634,0,+1003719200.0ns,+1004642962.0ns,923762
h8,h19,2,1,158258,0,+1003906965.0ns,+1004683022.0ns,776057
h2,h21,2,2,29032,0,+1003995859.0ns,+1004735367.0ns,739508
h3,h18,2,1,178772,0,+1003591133.0ns,+1004737293.0ns,1146160
h12,h21,2,2,17878,0,+1004001607.0ns,+1004740560.0ns,738953
h7,h19,2,1,46980,0,+1003813501.0ns,+1004868759.0ns,1055258
h7,h19,2,2,302185,0,+1004201845.0ns,+1005002773.0ns,800928
h11,h18,2,1,17345,0,+1004188941.0ns,+1005101373.0ns,912432
h15,h26,2,2,9824303,0,+1002909651.0ns,+1005127416.0ns,2217765
h15,h26,2,4,2434005,0,+1003534491.0ns,+1005138834.0ns,1604343
h5,h24,2,1,5988,0,+1004327688.0ns,+1005214805.0ns,887117
h13,h25,2,1,67660,0,+1004307247.0ns,+1005216731.0ns,909484
h4,h31,2,1,7345273,0,+1003412051.0ns,+1005245608.0ns,1833557
h14,h23,2,1,9559896,0,+1003571835.0ns,+1005282060.0ns,1710225
h2,h29,2,1,653275,0,+1004248113.0ns,+1005329904.0ns,1081791
h9,h23,2,2,1576039,0,+1004476933.0ns,+1005411585.0ns,934652
h9,h27,2,1,48259,0,+1005012661.0ns,+1005557574.0ns,544913
h5,h19,2,1,98171,0,+1005005753.0ns,+1005640244.0ns,634491
h15,h30,2,2,4303111,0,+1004643132.0ns,+1005704702.0ns,1061570
h10,h32,2,1,27563,0,+1005192423.0ns,+1005764886.0ns,572463
h8,h31,2,2,3273806,0,+1004862715.0ns,+1005870571.0ns,1007856
h4,h20,2,1,1052833,0,+1005019466.0ns,+1006027550.0ns,1008084
h9,h24,2,2,61668,0,+1005533973.0ns,+1006096186.0ns,562213
h16,h25,2,1,6670072,0,+1004788558.0ns,+1006212511.0ns,1423953
h14,h28,2,1,681963,0,+1005581456.0ns,+1006279275.0ns,697819
h4,h19,2,1,24303,0,+1005818734.0ns,+1006341451.0ns,522717
h1,h17,2,2,1314892,0,+1005834073.0ns,+1006609765.0ns,775692
h7,h20,2,2,7808,0,+1005965246.0ns,+1006651252.0ns,686006
h6,h21,2,2,69948,0,+1005729719.0ns,+1006775923.0ns,1046204
h2,h32,2,1,4945193,0,+1004945218.0ns,+1006840226.0ns,1895008
h14,h27,2,1,6210086,0,+1005664406.0ns,+1006936709.0ns,1272303
h2,h23,2,1,22046,0,+1006178576.0ns,+1006950543.0ns,771967
h5,h24,2,2,441178,0,+1005747962.0ns,+1006983958.0ns,1235996
h2,h17,2,1,3015,0,+1006566809.0ns,+1006998524.0ns,431715
h14,h23,2,2,155198,0,+1006600206.0ns,+1007036593.0ns,436387
h15,h25,2,1,8554633,0,+1005487634.0ns,+1007042634.0ns,1555000
h7,h20,2,3,87196,0,+1006636377.0ns,+1007057353.0ns,420976
h13,h23,2,2,1779,0,+1006647095.0ns,+1007058630.0ns,411535
h1,h18,2,1,981365,0,+1006563369.0ns,+1007091777.0ns,528408
h10,h24,2,1,2426,0,+1006734980.0ns,+1007148430.0ns,413450
h9,h28,2,1,6648745,0,+1004945413.0ns,+1007155949.0ns,2210536
h14,h19,2,1,1442,0,+1006785179.0ns,+1007197251.0ns,412072
h10,h18,2,1,479999,0,+1006651253.0ns,+1007239200.0ns,587947
h3,h17,2,1,182516,0,+1005475707.0ns,+1007246944.0ns,1771237
h14,h28,2,2,16994,0,+1006816607.0ns,+1007286268.0ns,469661
h6,h20,2,2,48241,0,+1006688998.0ns,+1007319877.0ns,630879
h5,h18,2,1,1518,0,+1006894259.0ns,+1007388780.0ns,494521
h12,h23,2,1,3484578,0,+1005307508.0ns,+1007550289.0ns,2242781
h13,h23,2,3,25991,0,+1007080842.0ns,+1007551973.0ns,471131
h1,h27,2,3,2348861,0,+1005300001.0ns,+1007574516.0ns,2274515
h1,h20,2,2,165191,0,+1005517819.0ns,+1007614275.0ns,2096456
h9,h25,2,1,22082,0,+1007177024.0ns,+1007623349.0ns,446325
h11,h20,2,1,302264,0,+1005706565.0ns,+1007788411.0ns,2081846
h15,h18,2,1,2022397,0,+1006881315.0ns,+1007818174.0ns,936859
h3,h18,2,2,5491,0,+1005670536.0ns,+1007938132.0ns,2267596
h11,h30,2,1,1933250,0,+1005670354.0ns,+1007995580.0ns,2325226
h12,h29,2,1,36507,0,+1006336107.0ns,+1008001454.0ns,1665347
h11,h18,2,2,2625,0,+1007590405.0ns,+1008001609.0ns,411204
h9,h20,2,1,55912,0,+1007031804.0ns,+1008012089.0ns,980285
h10,h22,2,3,6728,0,+1007610726.0ns,+1008024671.0ns,413945
h9,h32,2,1,40058,0,+1007223807.0ns,+1008044966.0ns,821159
h6,h23,2,1,73916,0,+1007503417.0ns,+1008045565.0ns,542148
h2,h30,2,1,158776,0,+1006670281.0ns,+1008070797.0ns,1400516
h10,h22,2,2,16063,0,+1007282929.0ns,+1008102511.0ns,819582
h1,h25,2,1,44027,0,+1006723372.0ns,+1008144108.0ns,1420736
h9,h30,2,1,8259,0,+1006857872.0ns,+1008145005.0ns,1287133
h2,h22,2,1,21057,0,+1006865480.0ns,+1008312731.0ns,1447251
h4,h22,2,2,5715429,0,+1006607166.0ns,+1008329290.0ns,1722124
h4,h27,2,1,19871,0,+1007869131.0ns,+1008371335.0ns,502204
h1,h29,2,1,6766,0,+1007060721.0ns,+1008392670.0ns,1331949
h5,h17,2,1,250707,0,+1006658794.0ns,+1008653411.0ns,1994617
h3,h24,2,2,4851169,0,+1005378249.0ns,+1008697079.0ns,3318830
h2,h28,2,1,575405,0,+1007212840.0ns,+1008721170.0ns,1508330
h3,h28,2,2,6707,0,+1006366825.0ns,+1008786660.0ns,2419835
h5,h32,2,2,844713,0,+1006640766.0ns,+1008800946.0ns,2160180
h3,h20,2,2,9757,0,+1006383936.0ns,+1008882321.0ns,2498385
h8,h26,2,1,9359377,0,+1006809203.0ns,+1008961559.0ns,2152356
h1,h31,2,2,3149796,0,+1007934296.0ns,+1008974667.0ns,1040371
h2,h21,2,3,25068,0,+1008440622.0ns,+1009119451.0ns,678829
h8,h31,2,3,7640654,0,+1006892426.0ns,+1009134062.0ns,2241636
h15,h27,2,1,66528,0,+1008568845.0ns,+1009180136.0ns,611291
h8,h26,2,2,3870,0,+1008317888.0ns,+1009196437.0ns,878549
h2,h17,2,3,194499,0,+1008477212.0ns,+1009203907.0ns,726695
h6,h32,2,2,781124,0,+1008292135.0ns,+1009282928.0ns,990793
h10,h28,2,1,809614,0,+1008359466.0ns,+1009380794.0ns,1021328
h4,h29,2,1,3362737,0,+1008368190.0ns,+1009394825.0ns,1026635
h6,h20,2,1,1945829,0,+1006327381.0ns,+1009405744.0ns,3078363
h15,h20,2,1,1315983,0,+1007910232.0ns,+1009464492.0ns,1554260
h3,h28,2,3,132457,0,+1008922450.0ns,+1009556629.0ns,634179
h8,h29,2,2,37183,0,+1008962390.0ns,+1009625362.0ns,662972
h4,h18,2,1,3352327,0,+1005797566.0ns,+1009640175.0ns,3842609
h2,h17,2,2,13884,0,+1008094972.0ns,+1009658560.0ns,1563588
h10,h25,2,2,147050,0,+1008689481.0ns,+1009666193.0ns,976712
h15,h26,2,5,25093,0,+1008908523.0ns,+1009686635.0ns,778112
h8,h26,2,3,1415743,0,+1008961197.0ns,+1009738802.0ns,777605
h8,h19,2,2,28088,0,+1009129467.0ns,+1009778979.0ns,649512
h7,h32,2,1,41430,0,+1008798717.0ns,+1009779866.0ns,981149
h6,h25,2,2,41711,0,+1007879501.0ns,+1009820041.0ns,1940540
h16,h17,2,2,24013,0,+1009160042.0ns,+1009827659.0ns,667617
h3,h19,2,1,2477392,0,+1006337826.0ns,+1009858937.0ns,3521111
h1,h31,2,3,59764,0,+1008490107.0ns,+1009859338.0ns,1369231
h15,h19,2,2,17011100,0,+1006725767.0ns,+1009862864.0ns,3137097
h10,h25,2,1,38462,0,+1008369255.0ns,+1009882883.0ns,1513628
h1,h21,2,1,75061,0,+1008704929.0ns,+1009915384.0ns,1210455
h2,h24,2,1,32289,0,+1008735156.0ns,+1009940278.0ns,1205122
h3,h27,2,2,40445,0,+1009341089.0ns,+1009950685.0ns,609596
h11,h19,2,2,14963,0,+1008526978.0ns,+1009979546.0ns,1452568
h9,h21,2,1,829,0,+1008949981.0ns,+1010056324.0ns,1106343
h10,h30,2,1,3046,0,+1009037629.0ns,+1010121945.0ns,1084316
h8,h22,2,1,28787,0,+1009343554.0ns,+1010217082.0ns,873528
h9,h18,2,1,52285,0,+1008684391.0ns,+1010379319.0ns,1694928
h10,h24,2,2,41840,0,+1009356073.0ns,+1010384669.0ns,1028596
h7,h30,2,1,1156193,0,+1009557864.0ns,+1010388786.0ns,830922
h15,h29,2,1,53327,0,+1009702399.0ns,+1010412513.0ns,710114
h13,h18,2,2,101,0,+1009738791.0ns,+1010430568.0ns,691777
h11,h30,2,2,9753493,0,+1008300956.0ns,+1010465648.0ns,2164692
h4,h31,2,2,469982,0,+1009426737.0ns,+1010494607.0ns,1067870
h10,h22,2,4,6320147,0,+1008067548.0ns,+1010515029.0ns,2447481
h15,h18,2,2,47603,0,+1009664921.0ns,+1010540616.0ns,875695
h2,h29,2,2,368614,0,+1009520909.0ns,+1010599429.0ns,1078520
h16,h17,2,3,53324,0,+1009953634.0ns,+1010645426.0ns,691792
h13,h22,2,1,45729,0,+1009873033.0ns,+1010667896.0ns,794863
h8,h18,2,1,50523,0,+1010000423.0ns,+1010878094.0ns,877671
h15,h23,2,1,8794952,0,+1009292665.0ns,+1010910319.0ns,1617654
h15,h32,2,1,1018296,0,+1010163495.0ns,+1010932089.0ns,768594
h10,h31,2,2,3118,0,+1010297260.0ns,+1010995115.0ns,697855
h6,h27,2,1,54206,0,+1010241731.0ns,+1011086226.0ns,844495
h9,h18,2,2,60465,0,+1010359719.0ns,+1011124606.0ns,764887
h7,h23,2,1,11537,0,+1010406870.0ns,+1011222252.0ns,815382
h4,h30,2,2,25922,0,+1010373373.0ns,+1011222363.0ns,848990
h14,h26,2,1,697567,0,+1010292019.0ns,+1011225329.0ns,933310
