Time,Node,PortIndex,RxByte
+1000000000.0ns,s44,0,0
+1000100000.0ns,s44,0,0
+1000200000.0ns,s44,0,0
+1000300000.0ns,s44,0,0
+1000400000.0ns,s44,0,0
+1000500000.0ns,s44,0,0
+1000600000.0ns,s44,0,0
+1000700000.0ns,s44,0,932550
+1000800000.0ns,s44,0,2272050
+1000900000.0ns,s44,0,3594270
+1001000000.0ns,s44,0,5404696
+1001100000.0ns,s44,0,7086721
+1001200000.0ns,s44,0,7938365
+1001300000.0ns,s44,0,8295365
+1001400000.0ns,s44,0,8644865
+1001500000.0ns,s44,0,9162365
+1001600000.0ns,s44,0,10674282
+1001700000.0ns,s44,0,12756276
+1001800000.0ns,s44,0,14037276
+1001900000.0ns,s44,0,16041501
+1002000000.0ns,s44,0,19048566
+1002100000.0ns,s44,0,21979219
+1002200000.0ns,s44,0,24446719
+1002300000.0ns,s44,0,26836219
+1002400000.0ns,s44,0,29289162
+1002500000.0ns,s44,0,32277162
+1002600000.0ns,s44,0,35154758
+1002700000.0ns,s44,0,37966461
+1002800000.0ns,s44,0,41979545
+1002900000.0ns,s44,0,45940595
+1003000000.0ns,s44,0,50037789
+1003100000.0ns,s44,0,54430248
+1003200000.0ns,s44,0,58045044
+1003300000.0ns,s44,0,60669186
+1003400000.0ns,s44,0,63534848
+1003500000.0ns,s44,0,65505848
+1003600000.0ns,s44,0,68108348
+1003700000.0ns,s44,0,70582482
+1003800000.0ns,s44,0,73017162
+1003900000.0ns,s44,0,75515426
+1004000000.0ns,s44,0,77731608
+1004100000.0ns,s44,0,80063991
+1004200000.0ns,s44,0,82760479
+1004300000.0ns,s44,0,84195175
+1004400000.0ns,s44,0,85775153
+1004500000.0ns,s44,0,87442331
+1004600000.0ns,s44,0,89228800
+1004700000.0ns,s44,0,91437853
+1004800000.0ns,s44,0,92936205
+1004900000.0ns,s44,0,94877401
+1005000000.0ns,s44,0,97947901
+1005100000.0ns,s44,0,98817068
+1005200000.0ns,s44,0,99270068
+1005300000.0ns,s44,0,100722068
+1005400000.0ns,s44,0,103173068
+1005500000.0ns,s44,0,107115302
+1005600000.0ns,s44,0,111510302
+1005700000.0ns,s44,0,116222094
+1005800000.0ns,s44,0,121163094
+1005900000.0ns,s44,0,126004749
+1006000000.0ns,s44,0,129584114
+1006100000.0ns,s44,0,133779313
+1006200000.0ns,s44,0,138297719
+1006300000.0ns,s44,0,141879318
+1006400000.0ns,s44,0,144774318
+1006500000.0ns,s44,0,147536200
+1006600000.0ns,s44,0,149696200
+1006700000.0ns,s44,0,151665241
+1006800000.0ns,s44,0,153799721
+1006900000.0ns,s44,0,156294221
+1007000000.0ns,s44,0,159079721
+1007100000.0ns,s44,0,161968350
