Time,Node,IfIndex,qIndex,PfcType,Time
+1001697734.0ns,s5,0,0,R,0
+1001700806.0ns,s7,0,0,P,0
+1001702019.0ns,s5,0,0,P,0
+1001702020.0ns,s5,0,0,R,0
+1001702140.0ns,s5,0,0,P,0
+1001702141.0ns,s5,0,0,R,0
+1001702265.0ns,s5,0,0,P,0
+1001705350.0ns,s7,0,0,R,0
+1001706064.0ns,s5,0,0,R,0
+1001709259.0ns,s7,0,0,P,0
+1001710604.0ns,s5,0,0,P,0
+1001710705.0ns,s5,0,0,R,0
+1001710723.0ns,s5,0,0,P,0
+1001713918.0ns,s7,0,0,R,0
+1001714751.0ns,s5,0,0,R,0
+1001717823.0ns,s7,0,0,P,0
+1001717845.0ns,s7,0,0,R,0
+1001717942.0ns,s7,0,0,P,0
+1001719251.0ns,s5,0,0,P,0
+1001719273.0ns,s5,0,0,R,0
+1001719370.0ns,s5,0,0,P,0
+1001722724.0ns,s7,0,0,R,0
+1001723319.0ns,s5,0,0,R,0
+1001726510.0ns,s7,0,0,P,0
+1001726532.0ns,s7,0,0,R,0
+1001726629.0ns,s7,0,0,P,0
+1001727581.0ns,s5,0,0,P,0
+1001727603.0ns,s5,0,0,R,0
+1001727700.0ns,s5,0,0,P,0
+1001727722.0ns,s5,0,0,R,0
+1001727819.0ns,s5,0,0,P,0
+1001731082.0ns,s7,0,0,R,0
+1001731796.0ns,s5,0,0,R,0
+1001734872.0ns,s7,0,0,P,0
+1001736177.0ns,s5,0,0,P,0
+1001736199.0ns,s5,0,0,R,0
+1001736296.0ns,s5,0,0,P,0
+1001739650.0ns,s7,0,0,R,0
+1001740007.0ns,s5,0,0,R,0
+1001743317.0ns,s7,0,0,P,0
+1001744302.0ns,s5,0,0,P,0
+1001744337.0ns,s5,0,0,R,0
+1001744421.0ns,s5,0,0,P,0
+1001747907.0ns,s7,0,0,R,0
+1001748264.0ns,s5,0,0,R,0
+1001751693.0ns,s7,0,0,P,0
+1001751715.0ns,s7,0,0,R,0
+1001751812.0ns,s7,0,0,P,0
+1001752857.0ns,s5,0,0,P,0
+1001752905.0ns,s5,0,0,R,0
+1001752976.0ns,s5,0,0,P,0
+1001756648.0ns,s7,0,0,R,0
+1001756767.0ns,s5,0,0,R,0
+1001760315.0ns,s7,0,0,P,0
+1001760337.0ns,s7,0,0,R,0
+1001760434.0ns,s7,0,0,P,0
+1001761351.0ns,s5,0,0,P,0
+1001761408.0ns,s5,0,0,R,0
+1001761470.0ns,s5,0,0,P,0
+1001761527.0ns,s5,0,0,R,0
+1001761589.0ns,s5,0,0,P,0
+1001765002.0ns,s7,0,0,R,0
+1001765478.0ns,s5,0,0,R,0
+1001768788.0ns,s7,0,0,P,0
+1001768810.0ns,s7,0,0,R,0
+1001768907.0ns,s7,0,0,P,0
+1001769596.0ns,s5,0,0,P,0
+1001769643.0ns,s5,0,0,R,0
+1001769715.0ns,s5,0,0,P,0
+1001773332.0ns,s7,0,0,R,0
+1001773689.0ns,s5,0,0,R,0
+1001777483.0ns,s5,0,0,P,0
+1001777594.0ns,s7,0,0,P,0
+1001781305.0ns,s7,0,0,R,0
+1001781424.0ns,s5,0,0,R,0
+1001785464.0ns,s5,0,0,P,0
+1001785470.0ns,s5,0,0,R,0
+1001785567.0ns,s7,0,0,P,0
+1001785583.0ns,s5,0,0,P,0
+1001785589.0ns,s7,0,0,R,0
+1001785686.0ns,s7,0,0,P,0
+1001785703.0ns,s7,0,0,R,0
+1001785805.0ns,s7,0,0,P,0
+1001785827.0ns,s7,0,0,R,0
+1001785924.0ns,s7,0,0,P,0
+1001789992.0ns,s5,0,0,R,0
+1001790111.0ns,s7,0,0,R,0
+1001794429.0ns,s5,0,0,P,0
+1001794514.0ns,s5,0,0,R,0
+1001794548.0ns,s5,0,0,P,0
+1001794849.0ns,s7,0,0,P,0
+1001794871.0ns,s7,0,0,R,0
+1001794968.0ns,s7,0,0,P,0
+1001794969.0ns,s7,0,0,R,0
+1001795087.0ns,s7,0,0,P,0
+1001795109.0ns,s7,0,0,R,0
+1001795206.0ns,s7,0,0,P,0
+1001798917.0ns,s5,0,0,R,0
+1001799036.0ns,s7,0,0,R,0
+1001803536.0ns,s7,0,0,P,0
+1001803537.0ns,s7,0,0,R,0
+1001803655.0ns,s7,0,0,P,0
+1001803677.0ns,s7,0,0,R,0
+1001803727.0ns,s5,0,0,P,0
+1001803774.0ns,s7,0,0,P,0
+1001807279.0ns,s7,0,0,R,0
+1001807636.0ns,s5,0,0,R,0
+1001811303.0ns,s7,0,0,P,0
+1001811791.0ns,s5,0,0,P,0
+1001811854.0ns,s5,0,0,R,0
+1001811910.0ns,s5,0,0,P,0
+1001815705.0ns,s7,0,0,R,0
+1001815803.0ns,s5,0,0,R,0
+1001820319.0ns,s5,0,0,P,0
+1001820443.0ns,s7,0,0,P,0
+1001820444.0ns,s7,0,0,R,0
+1001820562.0ns,s7,0,0,P,0
+1001824490.0ns,s5,0,0,R,0
+1001824847.0ns,s7,0,0,R,0
+1001828764.0ns,s5,0,0,P,0
+1001828774.0ns,s5,0,0,R,0
+1001828887.0ns,s5,0,0,P,0
+1001829020.0ns,s7,0,0,P,0
+1001829131.0ns,s7,0,0,R,0
+1001829139.0ns,s7,0,0,P,0
+1001832939.0ns,s7,0,0,R,0
+1001833058.0ns,s5,0,0,R,0
+1001836963.0ns,s7,0,0,P,0
+1001836985.0ns,s7,0,0,R,0
+1001837082.0ns,s7,0,0,P,0
+1001837236.0ns,s5,0,0,P,0
+1001837342.0ns,s5,0,0,R,0
+1001837355.0ns,s5,0,0,P,0
+1001840793.0ns,s7,0,0,R,0
+1001841388.0ns,s5,0,0,R,0
+1001844936.0ns,s7,0,0,P,0
+1001844958.0ns,s7,0,0,R,0
+1001845055.0ns,s7,0,0,P,0
+1001845666.0ns,s5,0,0,P,0
