Time,Node,PortIndex,RxByte
+1000000000.0ns,s44,0,0
+1000100000.0ns,s44,0,0
+1000200000.0ns,s44,0,0
+1000300000.0ns,s44,0,0
+1000400000.0ns,s44,0,0
+1000500000.0ns,s44,0,498403
+1000600000.0ns,s44,0,2292183
+1000700000.0ns,s44,0,4621956
+1000800000.0ns,s44,0,6727818
+1000900000.0ns,s44,0,8303444
+1001000000.0ns,s44,0,10375166
+1001100000.0ns,s44,0,12874809
+1001200000.0ns,s44,0,14767424
+1001300000.0ns,s44,0,17741722
+1001400000.0ns,s44,0,21296292
+1001500000.0ns,s44,0,23577934
+1001600000.0ns,s44,0,26144746
+1001700000.0ns,s44,0,28943583
+1001800000.0ns,s44,0,32350899
+1001900000.0ns,s44,0,34777649
+1002000000.0ns,s44,0,36479752
+1002100000.0ns,s44,0,38088844
+1002200000.0ns,s44,0,40404122
+1002300000.0ns,s44,0,43239648
+1002400000.0ns,s44,0,47122526
+1002500000.0ns,s44,0,50461027
+1002600000.0ns,s44,0,53283519
+1002700000.0ns,s44,0,55978914
+1002800000.0ns,s44,0,58643845
+1002900000.0ns,s44,0,61449618
+1003000000.0ns,s44,0,64123773
+1003100000.0ns,s44,0,66276305
+1003200000.0ns,s44,0,68270969
+1003300000.0ns,s44,0,70017193
+1003400000.0ns,s44,0,72730242
+1003500000.0ns,s44,0,75629466
+1003600000.0ns,s44,0,77338292
+1003700000.0ns,s44,0,79789992
+1003800000.0ns,s44,0,82620419
+1003900000.0ns,s44,0,85814121
+1004000000.0ns,s44,0,88440452
+1004100000.0ns,s44,0,91594505
+1004200000.0ns,s44,0,94494905
+1004300000.0ns,s44,0,96657873
+1004400000.0ns,s44,0,98966419
+1004500000.0ns,s44,0,101712473
+1004600000.0ns,s44,0,104751400
+1004700000.0ns,s44,0,107639096
+1004800000.0ns,s44,0,110816215
+1004900000.0ns,s44,0,114712113
+1005000000.0ns,s44,0,118715520
+1005100000.0ns,s44,0,122439342
+1005200000.0ns,s44,0,126482222
+1005300000.0ns,s44,0,131140633
+1005400000.0ns,s44,0,135296502
+1005500000.0ns,s44,0,137404541
+1005600000.0ns,s44,0,140227358
+1005700000.0ns,s44,0,143466741
+1005800000.0ns,s44,0,147378023
+1005900000.0ns,s44,0,150807901
+1006000000.0ns,s44,0,154147572
+1006100000.0ns,s44,0,157780756
+1006200000.0ns,s44,0,161919854
+1006300000.0ns,s44,0,165750181
+1006400000.0ns,s44,0,168062830
+1006500000.0ns,s44,0,171618163
+1006600000.0ns,s44,0,174512078
+1006700000.0ns,s44,0,177311022
+1006800000.0ns,s44,0,180372201
+1006900000.0ns,s44,0,183802549
+1007000000.0ns,s44,0,186123792
+1007100000.0ns,s44,0,189655853
