FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h7,h15,1,1,71594,0,+1001444952.0ns,+1001471003.0ns,26051
h9,h3,1,1,1197046,0,+1001340906.0ns,+1001512490.0ns,171584
h9,h8,1,1,745225,0,+1001379176.0ns,+1001515189.0ns,136013
h25,h24,3,1,745225,0,+1001379176.0ns,+1001518740.0ns,139564
h25,h19,3,1,1197046,0,+1001340906.0ns,+1001526176.0ns,185270
h2,h21,2,1,25050,0,+1001109773.0ns,+1001533441.0ns,423668
h8,h3,1,1,24391,0,+1001526096.0ns,+1001541992.0ns,15896
h24,h19,3,1,24391,0,+1001526096.0ns,+1001550158.0ns,24062
h13,h1,1,1,3959297,0,+1001220445.0ns,+1001553907.0ns,333462
h14,h22,2,1,346951,0,+1001102854.0ns,+1001557240.0ns,454386
h2,h11,1,1,35040,0,+1001562214.0ns,+1001573760.0ns,11546
h18,h27,3,1,35040,0,+1001562214.0ns,+1001585174.0ns,22960
h1,h4,1,2,18213,0,+1001576748.0ns,+1001587636.0ns,10888
h17,h20,3,2,18213,0,+1001576748.0ns,+1001600341.0ns,23593
h32,h27,3,1,2150834,0,+1001229128.0ns,+1001600720.0ns,371592
h27,h25,3,1,5929360,0,+1001089356.0ns,+1001604494.0ns,515138
h29,h26,3,1,144304,0,+1001602942.0ns,+1001633246.0ns,30304
h13,h10,1,1,144304,0,+1001602942.0ns,+1001633812.0ns,30870
h29,h17,3,1,3959297,0,+1001220445.0ns,+1001644771.0ns,424326
h19,h26,3,1,23861,0,+1001647658.0ns,+1001660001.0ns,12343
h3,h10,1,1,23861,0,+1001647658.0ns,+1001662325.0ns,14667
h19,h28,3,1,4965148,0,+1000852688.0ns,+1001690404.0ns,837716
h19,h27,3,1,5154710,0,+1000846235.0ns,+1001700004.0ns,853769
h11,h9,1,1,5929360,0,+1001089356.0ns,+1001725650.0ns,636294
h5,h20,2,1,1558042,0,+1001059906.0ns,+1001734336.0ns,674430
h31,h24,3,1,2745349,0,+1001373685.0ns,+1001748671.0ns,374986
h22,h26,3,1,5696161,0,+1000666165.0ns,+1001808532.0ns,1142367
h3,h12,1,1,4965148,0,+1000852688.0ns,+1001820855.0ns,968167
h30,h23,3,1,61069,0,+1001861804.0ns,+1001873541.0ns,11737
h14,h7,1,1,61069,0,+1001861804.0ns,+1001874024.0ns,12220
h12,h23,2,2,32029,0,+1001450769.0ns,+1001875580.0ns,424811
h16,h11,1,1,2150834,0,+1001229128.0ns,+1001891240.0ns,662112
h24,h26,3,1,5363,0,+1001887893.0ns,+1001905264.0ns,17371
h8,h10,1,1,5363,0,+1001887893.0ns,+1001905970.0ns,18077
h26,h32,3,1,4114136,0,+1001562347.0ns,+1001912922.0ns,350575
h26,h31,3,1,34010,0,+1001916984.0ns,+1001926376.0ns,9392
h10,h15,1,1,34010,0,+1001916984.0ns,+1001927721.0ns,10737
h15,h3,1,1,74909,0,+1001965970.0ns,+1001987756.0ns,21786
h13,h22,2,1,66648,0,+1001559044.0ns,+1002011160.0ns,452116
h27,h24,3,2,7270,0,+1002010604.0ns,+1002017855.0ns,7251
h31,h19,3,1,74909,0,+1001965970.0ns,+1002020751.0ns,54781
h13,h21,2,1,6713,0,+1001559938.0ns,+1002021714.0ns,461776
h14,h23,2,1,57885,0,+1001609925.0ns,+1002027925.0ns,418000
h29,h26,3,2,116458,0,+1002024724.0ns,+1002041208.0ns,16484
h13,h10,1,2,116458,0,+1002024724.0ns,+1002044946.0ns,20222
h11,h8,1,2,7270,0,+1002010604.0ns,+1002051360.0ns,40756
h19,h23,3,1,109898,0,+1002051879.0ns,+1002073119.0ns,21240
h23,h27,3,1,2095384,0,+1001810624.0ns,+1002075477.0ns,264853
h10,h2,1,1,97629,0,+1002073485.0ns,+1002089907.0ns,16422
h26,h18,3,1,97629,0,+1002073485.0ns,+1002092544.0ns,19059
h3,h7,1,1,109898,0,+1002051879.0ns,+1002095935.0ns,44056
h22,h21,3,2,60382,0,+1002099617.0ns,+1002110894.0ns,11277
h6,h3,1,1,2306517,0,+1000803872.0ns,+1002124758.0ns,1320886
h19,h21,3,1,178772,0,+1002094828.0ns,+1002124846.0ns,30018
h15,h23,2,1,871871,0,+1001491964.0ns,+1002129070.0ns,637106
h20,h32,3,1,225485,0,+1002084682.0ns,+1002130475.0ns,45793
h6,h5,1,2,60382,0,+1002099617.0ns,+1002134126.0ns,34509
h4,h16,1,1,225485,0,+1002084682.0ns,+1002135580.0ns,50898
h3,h5,1,1,178772,0,+1002094828.0ns,+1002161434.0ns,66606
h1,h20,2,1,1298317,0,+1001455526.0ns,+1002164443.0ns,708917
h21,h18,3,1,193634,0,+1002169532.0ns,+1002196092.0ns,26560
h5,h2,1,1,193634,0,+1002169532.0ns,+1002198694.0ns,29162
h3,h11,1,1,5154710,0,+1000846235.0ns,+1002216788.0ns,1370553
h7,h11,1,1,2095384,0,+1001810624.0ns,+1002236350.0ns,425726
h7,h3,1,1,46980,0,+1002224541.0ns,+1002238807.0ns,14266
h23,h19,3,1,46980,0,+1002224541.0ns,+1002265852.0ns,41311
h10,h16,1,1,4114136,0,+1001562347.0ns,+1002300218.0ns,737871
h8,h13,1,1,158258,0,+1002279061.0ns,+1002305091.0ns,26030
h24,h29,3,1,158258,0,+1002279061.0ns,+1002311626.0ns,32565
h1,h23,2,1,287095,0,+1001853605.0ns,+1002321752.0ns,468147
h18,h25,3,1,29032,0,+1002330917.0ns,+1002342284.0ns,11367
h28,h24,3,1,17878,0,+1002334269.0ns,+1002342578.0ns,8309
h2,h9,1,1,29032,0,+1002330917.0ns,+1002346693.0ns,15776
h27,h23,3,1,17345,0,+1002443547.0ns,+1002451687.0ns,8140
h12,h8,1,1,17878,0,+1002334269.0ns,+1002458619.0ns,124350
h23,h30,3,1,302185,0,+1002451075.0ns,+1002507733.0ns,56658
h7,h14,1,1,302185,0,+1002451075.0ns,+1002513025.0ns,61950
h8,h23,2,1,26049,0,+1002101141.0ns,+1002518213.0ns,417072
h13,h15,1,1,67660,0,+1002512559.0ns,+1002524668.0ns,12109
h29,h31,3,1,67660,0,+1002512559.0ns,+1002525334.0ns,12775
h5,h16,1,1,5988,0,+1002524483.0ns,+1002531930.0ns,7447
h21,h32,3,1,5988,0,+1002524483.0ns,+1002531937.0ns,7454
h2,h9,1,2,653275,0,+1002478065.0ns,+1002575133.0ns,97068
h18,h25,3,2,653275,0,+1002478065.0ns,+1002590979.0ns,112914
h11,h7,1,1,17345,0,+1002443547.0ns,+1002604180.0ns,160633
h11,h23,2,1,112055,0,+1002175176.0ns,+1002607076.0ns,431900
h1,h20,2,2,67771,0,+1002072328.0ns,+1002674215.0ns,601887
h20,h29,3,1,7345273,0,+1001990362.0ns,+1002675660.0ns,685298
h25,h28,3,1,1576039,0,+1002611543.0ns,+1002749789.0ns,138246
h28,h19,3,1,4028083,0,+1001479391.0ns,+1002798249.0ns,1318858
h1,h22,2,1,936,0,+1002238203.0ns,+1002810690.0ns,572487
h12,h6,1,1,1065614,0,+1002038895.0ns,+1002846375.0ns,807480
h8,h22,2,2,49764,0,+1002314405.0ns,+1002888251.0ns,573846
h9,h21,2,1,1197046,0,+1002298697.0ns,+1002894519.0ns,595822
h30,h25,3,2,9559896,0,+1002083569.0ns,+1002937212.0ns,853643
h21,h23,3,1,98171,0,+1002920021.0ns,+1002937784.0ns,17763
h5,h7,1,1,98171,0,+1002920021.0ns,+1002938445.0ns,18424
h9,h8,1,2,48259,0,+1002924051.0ns,+1002938514.0ns,14463
h25,h24,3,2,48259,0,+1002924051.0ns,+1002938686.0ns,14635
h7,h21,2,1,71594,0,+1002477062.0ns,+1003004006.0ns,526944
h20,h17,3,1,1052833,0,+1002928021.0ns,+1003021938.0ns,93917
h26,h25,3,1,27563,0,+1003028912.0ns,+1003033340.0ns,4428
h10,h9,1,1,27563,0,+1003028912.0ns,+1003033352.0ns,4440
h15,h8,1,1,2745349,0,+1001373685.0ns,+1003067955.0ns,1694270
h6,h10,1,1,5696161,0,+1000666165.0ns,+1003101986.0ns,2435821
h4,h1,1,1,1052833,0,+1002928021.0ns,+1003111157.0ns,183136
h8,h23,2,2,24391,0,+1002616166.0ns,+1003128937.0ns,512771
h13,h23,2,1,144304,0,+1002747903.0ns,+1003170425.0ns,422522
h16,h20,2,1,2150834,0,+1002107075.0ns,+1003205668.0ns,1098593
h22,h18,3,1,9757597,0,+1001166940.0ns,+1003210671.0ns,2043731
h3,h6,1,1,182516,0,+1003194163.0ns,+1003236529.0ns,42366
h17,h30,3,1,165191,0,+1003218726.0ns,+1003238900.0ns,20174
