FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h13,h20,2,1,54747,0,+1000258983.0ns,+1000676688.0ns,417705
h8,h22,2,1,25891,0,+1000282732.0ns,+1000695797.0ns,413065
h6,h23,2,1,75678,0,+1000406071.0ns,+1000827372.0ns,421301
h3,h23,2,1,51138,0,+1000426903.0ns,+1000850379.0ns,423476
h4,h23,2,1,1579544,0,+1000234405.0ns,+1000910933.0ns,676528
h16,h23,2,1,3332655,0,+1000225577.0ns,+1001048565.0ns,822988
h12,h23,2,1,30662,0,+1000549606.0ns,+1001086238.0ns,536632
h5,h22,2,1,67676,0,+1000560081.0ns,+1001102868.0ns,542787
h15,h22,2,1,74158,0,+1000753576.0ns,+1001174534.0ns,420958
h10,h21,2,2,28183,0,+1000767989.0ns,+1001181357.0ns,413368
h9,h22,2,1,1837985,0,+1000506454.0ns,+1001203374.0ns,696920
h10,h21,2,1,171512,0,+1000684958.0ns,+1001213874.0ns,528916
h2,h21,2,1,25050,0,+1001109773.0ns,+1001602566.0ns,492793
h14,h22,2,1,346951,0,+1001102854.0ns,+1002336824.0ns,1233970
h12,h23,2,2,32029,0,+1001450769.0ns,+1002498309.0ns,1047540
h13,h21,2,1,6713,0,+1001559938.0ns,+1002511991.0ns,952053
h15,h23,2,1,871871,0,+1001491964.0ns,+1002517513.0ns,1025549
h6,h21,2,1,5579491,0,+1000696516.0ns,+1002522789.0ns,1826273
h14,h23,2,1,57885,0,+1001609925.0ns,+1002576916.0ns,966991
h5,h20,2,1,1558042,0,+1001059906.0ns,+1002613317.0ns,1553411
h11,h23,2,1,112055,0,+1002175176.0ns,+1002628470.0ns,453294
h1,h20,2,1,1298317,0,+1001455526.0ns,+1002743698.0ns,1288172
h13,h22,2,1,66648,0,+1001559044.0ns,+1002791887.0ns,1232843
h9,h21,2,1,1197046,0,+1002298697.0ns,+1002963417.0ns,664720
h1,h23,2,1,287095,0,+1001853605.0ns,+1003022899.0ns,1169294
h3,h22,2,1,5154710,0,+1001450688.0ns,+1003556568.0ns,2105880
h1,h22,2,1,936,0,+1002238203.0ns,+1003686456.0ns,1448253
h8,h23,2,1,26049,0,+1002101141.0ns,+1003703827.0ns,1602686
h7,h21,2,1,71594,0,+1002477062.0ns,+1004512483.0ns,2035421
h8,h23,2,2,24391,0,+1002616166.0ns,+1004584993.0ns,1968827
h16,h20,2,1,2150834,0,+1002107075.0ns,+1004659589.0ns,2552514
h8,h22,2,3,5363,0,+1003236391.0ns,+1004707205.0ns,1470814
h4,h21,2,1,225485,0,+1003573742.0ns,+1004729545.0ns,1155803
h7,h20,2,2,46980,0,+1003813501.0ns,+1004783880.0ns,970379
h13,h23,2,2,116458,0,+1003470959.0ns,+1004789025.0ns,1318066
h13,h23,2,1,144304,0,+1002747903.0ns,+1004793151.0ns,2045248
