FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h2,h5,1,15,45118,0,+1005689226.0ns,+1007952123.0ns,2262897
h10,h11,1,21,1013,0,+1007793201.0ns,+1007953098.0ns,159897
h5,h3,1,11,146640,0,+1006486126.0ns,+1007953225.0ns,1467099
h16,h6,1,11,426,0,+1006448327.0ns,+1007953480.0ns,1505153
h16,h7,1,12,839,0,+1006443547.0ns,+1007953508.0ns,1509961
h1,h13,1,9,591,0,+1004874218.0ns,+1007954278.0ns,3080060
h5,h4,1,14,17124,0,+1007511107.0ns,+1007954767.0ns,443660
h6,h20,2,26,478,0,+1005938372.0ns,+1007955718.0ns,2017346
h16,h20,2,15,533,0,+1003964209.0ns,+1007955764.0ns,3991555
h12,h14,1,6,38640,0,+1005086325.0ns,+1007956567.0ns,2870242
h2,h16,1,20,47776,0,+1006937860.0ns,+1007957948.0ns,1020088
h10,h7,1,13,30473,0,+1006085963.0ns,+1007960007.0ns,1874044
h15,h13,1,18,37470,0,+1007153020.0ns,+1007960062.0ns,807042
h21,h27,3,13,290,0,+1007914062.0ns,+1007962143.0ns,48081
h2,h15,1,17,1411,0,+1007563068.0ns,+1007962667.0ns,399599
h19,h25,3,13,659,0,+1007895000.0ns,+1007962802.0ns,67802
h29,h31,3,15,54,0,+1007959145.0ns,+1007963357.0ns,4212
h9,h2,1,8,105603,0,+1007335647.0ns,+1007963412.0ns,627765
h5,h11,1,12,494,0,+1007313365.0ns,+1007963826.0ns,650461
h5,h12,1,15,22572,0,+1006913052.0ns,+1007963828.0ns,1050776
h15,h4,1,18,660,0,+1007570417.0ns,+1007964198.0ns,393781
h15,h10,1,16,516,0,+1006536450.0ns,+1007964646.0ns,1428196
h15,h6,1,16,666,0,+1006574763.0ns,+1007964739.0ns,1389976
h31,h26,3,22,1375,0,+1007958153.0ns,+1007964837.0ns,6684
h6,h10,1,12,47521,0,+1007174651.0ns,+1007965102.0ns,790451
h1,h14,1,14,272279,0,+1004534148.0ns,+1007966703.0ns,3432555
h17,h22,3,16,33448,0,+1006634209.0ns,+1007966727.0ns,1332518
h12,h4,1,13,759,0,+1007914846.0ns,+1007966768.0ns,51922
h29,h27,3,20,534,0,+1007913392.0ns,+1007966949.0ns,53557
h10,h7,1,17,32922,0,+1006748214.0ns,+1007967005.0ns,1218791
