Time,Node,PortIndex,RxByte
+1000000000.0ns,s42,0,0
+1000100000.0ns,s42,0,0
+1000200000.0ns,s42,0,0
+1000300000.0ns,s42,0,0
+1000400000.0ns,s42,0,0
+1000500000.0ns,s42,0,0
+1000600000.0ns,s42,0,0
+1000700000.0ns,s42,0,0
+1000800000.0ns,s42,0,0
+1000900000.0ns,s42,0,0
+1001000000.0ns,s42,0,1485000
+1001100000.0ns,s42,0,3795826
+1001200000.0ns,s42,0,5055826
+1001300000.0ns,s42,0,5172185
+1001400000.0ns,s42,0,5250619
+1001500000.0ns,s42,0,5303629
+1001600000.0ns,s42,0,5477629
+1001700000.0ns,s42,0,6737935
+1001800000.0ns,s42,0,7309580
+1001900000.0ns,s42,0,7309580
+1002000000.0ns,s42,0,7309580
+1002100000.0ns,s42,0,8292780
+1002200000.0ns,s42,0,9629642
+1002300000.0ns,s42,0,10890365
+1002400000.0ns,s42,0,12150365
+1002500000.0ns,s42,0,13373264
+1002600000.0ns,s42,0,13373264
+1002700000.0ns,s42,0,13373264
+1002800000.0ns,s42,0,13373264
+1002900000.0ns,s42,0,13656764
+1003000000.0ns,s42,0,15196250
+1003100000.0ns,s42,0,15762675
+1003200000.0ns,s42,0,17022675
+1003300000.0ns,s42,0,19542675
+1003400000.0ns,s42,0,22064175
+1003500000.0ns,s42,0,24585675
+1003600000.0ns,s42,0,26314904
+1003700000.0ns,s42,0,28584404
+1003800000.0ns,s42,0,31272629
+1003900000.0ns,s42,0,34447982
+1004000000.0ns,s42,0,37599482
+1004100000.0ns,s42,0,40750762
+1004200000.0ns,s42,0,43732200
+1004300000.0ns,s42,0,46252200
+1004400000.0ns,s42,0,48773700
+1004500000.0ns,s42,0,51295200
+1004600000.0ns,s42,0,53815200
+1004700000.0ns,s42,0,55341986
+1004800000.0ns,s42,0,56529815
+1004900000.0ns,s42,0,57791315
+1005000000.0ns,s42,0,59051315
+1005100000.0ns,s42,0,60660815
+1005200000.0ns,s42,0,63183815
+1005300000.0ns,s42,0,65307330
+1005400000.0ns,s42,0,67854315
+1005500000.0ns,s42,0,70374926
+1005600000.0ns,s42,0,72897926
+1005700000.0ns,s42,0,75418020
+1005800000.0ns,s42,0,77793037
+1005900000.0ns,s42,0,79116621
+1006000000.0ns,s42,0,82178201
+1006100000.0ns,s42,0,83439701
+1006200000.0ns,s42,0,83825964
+1006300000.0ns,s42,0,83825964
+1006400000.0ns,s42,0,84808464
+1006500000.0ns,s42,0,86069964
+1006600000.0ns,s42,0,87355239
+1006700000.0ns,s42,0,88642326
+1006800000.0ns,s42,0,89502715
+1006900000.0ns,s42,0,89502715
+1007000000.0ns,s42,0,90566464
+1007100000.0ns,s42,0,91827964
+1007200000.0ns,s42,0,92596384
+1007300000.0ns,s42,0,93856384
+1007400000.0ns,s42,0,95116384
+1007500000.0ns,s42,0,96377884
+1007600000.0ns,s42,0,97637884
+1007700000.0ns,s42,0,99566884
+1007800000.0ns,s42,0,102088384
+1007900000.0ns,s42,0,103590369
+1008000000.0ns,s42,0,104849940
+1008100000.0ns,s42,0,104967321
+1008200000.0ns,s42,0,104967321
+1008300000.0ns,s42,0,105044934
+1008400000.0ns,s42,0,105475434
+1008500000.0ns,s42,0,106735516
+1008600000.0ns,s42,0,108620186
+1008700000.0ns,s42,0,111111422
+1008800000.0ns,s42,0,114372684
+1008900000.0ns,s42,0,117840887
+1009000000.0ns,s42,0,120362387
+1009100000.0ns,s42,0,121858558
+1009200000.0ns,s42,0,123118558
+1009300000.0ns,s42,0,124380058
+1009400000.0ns,s42,0,125688754
+1009500000.0ns,s42,0,126948754
+1009600000.0ns,s42,0,127385506
+1009700000.0ns,s42,0,127385506
+1009800000.0ns,s42,0,127385506
+1009900000.0ns,s42,0,127385506
+1010000000.0ns,s42,0,127469162
+1010100000.0ns,s42,0,127469162
+1010200000.0ns,s42,0,127487131
+1010300000.0ns,s42,0,127800184
+1010400000.0ns,s42,0,128476963
+1010500000.0ns,s42,0,128547067
+1010600000.0ns,s42,0,128553315
+1010700000.0ns,s42,0,128553315
+1010800000.0ns,s42,0,128553315
+1010900000.0ns,s42,0,129175815
+1011000000.0ns,s42,0,130185982
+1011100000.0ns,s42,0,130185982
+1011200000.0ns,s42,0,130185982
+1011300000.0ns,s42,0,130961482
+1011400000.0ns,s42,0,132222982
+1011500000.0ns,s42,0,133482982
+1011600000.0ns,s42,0,134924137
+1011700000.0ns,s42,0,136184137
+1011800000.0ns,s42,0,138065137
+1011900000.0ns,s42,0,140586637
+1012000000.0ns,s42,0,144530137
+1012100000.0ns,s42,0,148563515
+1012200000.0ns,s42,0,151360385
+1012300000.0ns,s42,0,153880385
+1012400000.0ns,s42,0,156402074
+1012500000.0ns,s42,0,158197428
+1012600000.0ns,s42,0,158226031
+1012700000.0ns,s42,0,158226031
+1012800000.0ns,s42,0,158733031
+1012900000.0ns,s42,0,159304531
+1013000000.0ns,s42,0,159304531
+1013100000.0ns,s42,0,159304531
+1013200000.0ns,s42,0,159304531
+1013300000.0ns,s42,0,159304531
+1013400000.0ns,s42,0,163040435
+1013500000.0ns,s42,0,167009692
+1013600000.0ns,s42,0,171439934
+1013700000.0ns,s42,0,175221088
+1013800000.0ns,s42,0,179075375
+1013900000.0ns,s42,0,183313913
+1014000000.0ns,s42,0,187095688
+1014100000.0ns,s42,0,190496037
+1014200000.0ns,s42,0,191976537
+1014300000.0ns,s42,0,191976537
+1014400000.0ns,s42,0,191976537
+1014500000.0ns,s42,0,191976537
+1014600000.0ns,s42,0,191976537
+1014700000.0ns,s42,0,191976537
+1014800000.0ns,s42,0,191976537
+1014900000.0ns,s42,0,191976537
+1015000000.0ns,s42,0,191976537
+1015100000.0ns,s42,0,191976537
+1015200000.0ns,s42,0,191976537
+1015300000.0ns,s42,0,191976537
+1015400000.0ns,s42,0,191976537
+1015500000.0ns,s42,0,191976537
+1015600000.0ns,s42,0,191976537
+1015700000.0ns,s42,0,191976537
+1015800000.0ns,s42,0,193503224
+1015900000.0ns,s42,0,196119592
+1016000000.0ns,s42,0,199771971
+1016100000.0ns,s42,0,202342580
+1016200000.0ns,s42,0,204864080
+1016300000.0ns,s42,0,207479139
+1016400000.0ns,s42,0,211260658
+1016500000.0ns,s42,0,215051759
+1016600000.0ns,s42,0,218833519
+1016700000.0ns,s42,0,222613519
+1016800000.0ns,s42,0,226396519
+1016900000.0ns,s42,0,229686420
+1017000000.0ns,s42,0,232836420
+1017100000.0ns,s42,0,235986922
+1017200000.0ns,s42,0,239162362
+1017300000.0ns,s42,0,240416362
+1017400000.0ns,s42,0,240416362
+1017500000.0ns,s42,0,240416362
+1017600000.0ns,s42,0,240416362
+1017700000.0ns,s42,0,240416362
+1017800000.0ns,s42,0,243861888
+1017900000.0ns,s42,0,247643388
+1018000000.0ns,s42,0,247941888
+1018100000.0ns,s42,0,247941888
+1018200000.0ns,s42,0,250830237
+1018300000.0ns,s42,0,253351664
+1018400000.0ns,s42,0,255872652
+1018500000.0ns,s42,0,258784152
+1018600000.0ns,s42,0,262084152
+1018700000.0ns,s42,0,262084152
+1018800000.0ns,s42,0,264595152
+1018900000.0ns,s42,0,268509830
+1019000000.0ns,s42,0,272290929
+1019100000.0ns,s42,0,273039429
+1019200000.0ns,s42,0,273039429
+1019300000.0ns,s42,0,273039429
+1019400000.0ns,s42,0,273039429
+1019500000.0ns,s42,0,273039429
+1019600000.0ns,s42,0,273039429
+1019700000.0ns,s42,0,273039429
+1019800000.0ns,s42,0,273039429
+1019900000.0ns,s42,0,273039429
+1020000000.0ns,s42,0,273039429
+1020100000.0ns,s42,0,273676929
+1020200000.0ns,s42,0,278097429
+1020300000.0ns,s42,0,281877192
+1020400000.0ns,s42,0,285658692
+1020500000.0ns,s42,0,289440896
+1020600000.0ns,s42,0,292335110
+1020700000.0ns,s42,0,294872649
+1020800000.0ns,s42,0,297505399
+1020900000.0ns,s42,0,299092070
+1021000000.0ns,s42,0,299413070
+1021100000.0ns,s42,0,299413070
+1021200000.0ns,s42,0,299413070
+1021300000.0ns,s42,0,299413070
+1021400000.0ns,s42,0,299413070
+1021500000.0ns,s42,0,299413070
+1021600000.0ns,s42,0,299413070
+1021700000.0ns,s42,0,300686072
+1021800000.0ns,s42,0,304660696
+1021900000.0ns,s42,0,307181437
+1022000000.0ns,s42,0,308794696
+1022100000.0ns,s42,0,310215196
+1022200000.0ns,s42,0,312736696
+1022300000.0ns,s42,0,315329772
+1022400000.0ns,s42,0,318137772
+1022500000.0ns,s42,0,321920154
+1022600000.0ns,s42,0,322248654
+1022700000.0ns,s42,0,322248654
+1022800000.0ns,s42,0,322248654
+1022900000.0ns,s42,0,326588154
+1023000000.0ns,s42,0,331258721
+1023100000.0ns,s42,0,335039395
+1023200000.0ns,s42,0,336404299
+1023300000.0ns,s42,0,336404299
+1023400000.0ns,s42,0,337736299
+1023500000.0ns,s42,0,340306692
+1023600000.0ns,s42,0,342826692
+1023700000.0ns,s42,0,345315763
+1023800000.0ns,s42,0,345315763
+1023900000.0ns,s42,0,345315763
+1024000000.0ns,s42,0,345780763
+1024100000.0ns,s42,0,348615606
+1024200000.0ns,s42,0,352152606
+1024300000.0ns,s42,0,354063218
+1024400000.0ns,s42,0,355324718
+1024500000.0ns,s42,0,356935030
+1024600000.0ns,s42,0,356997679
+1024700000.0ns,s42,0,357036490
+1024800000.0ns,s42,0,357200475
+1024900000.0ns,s42,0,358903648
+1025000000.0ns,s42,0,360539843
+1025100000.0ns,s42,0,361144343
+1025200000.0ns,s42,0,362405843
+1025300000.0ns,s42,0,363693711
+1025400000.0ns,s42,0,363693711
+1025500000.0ns,s42,0,363693711
+1025600000.0ns,s42,0,363795146
+1025700000.0ns,s42,0,363795146
+1025800000.0ns,s42,0,364209146
+1025900000.0ns,s42,0,365773646
+1026000000.0ns,s42,0,367573109
+1026100000.0ns,s42,0,369173885
+1026200000.0ns,s42,0,371693657
+1026300000.0ns,s42,0,374215157
+1026400000.0ns,s42,0,376735734
+1026500000.0ns,s42,0,378870895
+1026600000.0ns,s42,0,380132395
+1026700000.0ns,s42,0,382654074
+1026800000.0ns,s42,0,385665813
+1026900000.0ns,s42,0,388587608
+1027000000.0ns,s42,0,391131240
+1027100000.0ns,s42,0,394315949
+1027200000.0ns,s42,0,397388362
+1027300000.0ns,s42,0,399909862
+1027400000.0ns,s42,0,402512340
+1027500000.0ns,s42,0,405040618
+1027600000.0ns,s42,0,407562118
+1027700000.0ns,s42,0,410082118
+1027800000.0ns,s42,0,412603154
+1027900000.0ns,s42,0,414011654
+1028000000.0ns,s42,0,414011654
+1028100000.0ns,s42,0,414011654
+1028200000.0ns,s42,0,414011654
+1028300000.0ns,s42,0,414011654
+1028400000.0ns,s42,0,416752625
+1028500000.0ns,s42,0,420534284
+1028600000.0ns,s42,0,424315784
+1028700000.0ns,s42,0,428097284
+1028800000.0ns,s42,0,432954243
+1028900000.0ns,s42,0,437652727
+1029000000.0ns,s42,0,441434188
+1029100000.0ns,s42,0,445216451
+1029200000.0ns,s42,0,448420451
+1029300000.0ns,s42,0,448420451
+1029400000.0ns,s42,0,448420451
+1029500000.0ns,s42,0,448420451
+1029600000.0ns,s42,0,448420451
+1029700000.0ns,s42,0,448420451
+1029800000.0ns,s42,0,448420451
+1029900000.0ns,s42,0,448420451
+1030000000.0ns,s42,0,448420451
+1030100000.0ns,s42,0,448420451
+1030200000.0ns,s42,0,448420451
+1030300000.0ns,s42,0,448420451
+1030400000.0ns,s42,0,448420451
+1030500000.0ns,s42,0,448420451
+1030600000.0ns,s42,0,448420451
+1030700000.0ns,s42,0,452223209
+1030800000.0ns,s42,0,455556962
+1030900000.0ns,s42,0,458079208
+1031000000.0ns,s42,0,460599337
+1031100000.0ns,s42,0,463119337
+1031200000.0ns,s42,0,465640537
+1031300000.0ns,s42,0,468462510
+1031400000.0ns,s42,0,471913326
+1031500000.0ns,s42,0,473407326
+1031600000.0ns,s42,0,473407326
+1031700000.0ns,s42,0,473407326
+1031800000.0ns,s42,0,473407326
+1031900000.0ns,s42,0,473407326
