Time,Node,IfIndex,qIndex,PfcType,Time
+1001670511.0ns,s5,0,0,P,0
+1001674341.0ns,s7,0,0,R,0
+1001674698.0ns,s5,0,0,R,0
+1001679109.0ns,s5,0,0,P,0
+1001679317.0ns,s7,0,0,P,0
+1001679339.0ns,s7,0,0,R,0
+1001679436.0ns,s7,0,0,P,0
+1001679437.0ns,s7,0,0,R,0
+1001679555.0ns,s7,0,0,P,0
+1001679577.0ns,s7,0,0,R,0
+1001679674.0ns,s7,0,0,P,0
+1001682909.0ns,s7,0,0,R,0
+1001683385.0ns,s5,0,0,R,0
+1001686457.0ns,s5,0,0,P,0
+1001686457.0ns,s7,0,0,P,0
+1001686458.0ns,s7,0,0,R,0
+1001686695.0ns,s7,0,0,P,0
+1001691120.0ns,s7,0,0,R,0
+1001692667.0ns,s5,0,0,R,0
+1001695739.0ns,s7,0,0,P,0
+1001695826.0ns,s7,0,0,R,0
+1001695858.0ns,s7,0,0,P,0
+1001695859.0ns,s7,0,0,R,0
+1001695977.0ns,s7,0,0,P,0
+1001696064.0ns,s7,0,0,R,0
+1001696096.0ns,s5,0,0,P,0
+1001696096.0ns,s7,0,0,P,0
+1001696183.0ns,s5,0,0,R,0
+1001696215.0ns,s5,0,0,P,0
+1001698801.0ns,s7,0,0,R,0
+1001701336.0ns,s5,0,0,R,0
+1001701875.0ns,s41,0,0,P,0
+1001701931.0ns,s41,0,0,R,0
+1001701954.0ns,s41,0,0,P,0
+1001704527.0ns,s5,0,0,P,0
+1001704632.0ns,s5,0,0,R,0
+1001704646.0ns,s5,0,0,P,0
+1001709608.0ns,s7,0,0,P,0
+1001709609.0ns,s7,0,0,R,0
+1001709727.0ns,s7,0,0,P,0
+1001709749.0ns,s7,0,0,R,0
+1001709846.0ns,s7,0,0,P,0
+1001713795.0ns,s7,0,0,R,0
+1001715461.0ns,s5,0,0,R,0
+1001718533.0ns,s5,0,0,P,0
+1001718617.0ns,s5,0,0,R,0
+1001718652.0ns,s5,0,0,P,0
+1001725281.0ns,s5,0,0,R,0
+1001725766.0ns,s4,0,0,P,0
+1001725805.0ns,s1,0,0,P,0
+1001726982.0ns,s7,0,0,P,0
+1001726983.0ns,s7,0,0,R,0
+1001727101.0ns,s7,0,0,P,0
+1001727639.0ns,s5,0,0,P,0
+1001789069.0ns,s3,0,0,P,0
+1001837804.0ns,s2,0,0,P,0
+1001839681.0ns,s13,0,0,P,0
+1001894192.0ns,s15,0,0,P,0
+1001901073.0ns,s15,0,0,R,0
+1001904067.0ns,s15,0,0,P,0
+1001949744.0ns,s41,0,0,R,0
+1001949771.0ns,s41,0,0,P,0
+1001949771.0ns,s41,0,0,R,0
+1001949800.0ns,s41,0,0,P,0
+1001949863.0ns,s41,0,0,R,0
+1001949890.0ns,s41,0,0,P,0
+1001949890.0ns,s41,0,0,R,0
+1001949919.0ns,s41,0,0,P,0
+1001949982.0ns,s41,0,0,R,0
+1001950009.0ns,s41,0,0,P,0
+1001950009.0ns,s41,0,0,R,0
+1001950038.0ns,s41,0,0,P,0
+1001950038.0ns,s41,0,0,R,0
+1001950069.0ns,s41,0,0,P,0
+1001950101.0ns,s41,0,0,R,0
+1001950128.0ns,s41,0,0,P,0
+1001950128.0ns,s41,0,0,R,0
+1001950157.0ns,s41,0,0,P,0
+1001950157.0ns,s41,0,0,R,0
+1001951624.0ns,s3,0,0,R,0
+1001952233.0ns,s4,0,0,R,0
+1001952262.0ns,s1,0,0,R,0
+1001955997.0ns,s7,0,0,R,0
+1001958306.0ns,s15,0,0,R,0
+1001959213.0ns,s5,0,0,R,0
+1001962880.0ns,s5,0,0,P,0
+1001962902.0ns,s5,0,0,R,0
+1001962999.0ns,s5,0,0,P,0
+1001967229.0ns,s7,0,0,P,0
+1001967230.0ns,s7,0,0,R,0
+1001967588.0ns,s7,0,0,P,0
+1001967589.0ns,s7,0,0,R,0
+1001967709.0ns,s7,0,0,P,0
+1001967710.0ns,s7,0,0,R,0
+1001967830.0ns,s7,0,0,P,0
+1001967831.0ns,s7,0,0,R,0
+1001967951.0ns,s7,0,0,P,0
+1001968190.0ns,s7,0,0,R,0
+1001968310.0ns,s7,0,0,P,0
+1001968585.0ns,s5,0,0,R,0
+1001969290.0ns,s2,0,0,R,0
+1001969824.0ns,s13,0,0,R,0
+1001970691.0ns,s7,0,0,R,0
+1001972513.0ns,s5,0,0,P,0
+1001972633.0ns,s5,0,0,R,0
+1001972634.0ns,s5,0,0,P,0
+1001975752.0ns,s13,0,0,P,0
+1001978466.0ns,s5,0,0,R,0
+1001978662.0ns,s7,0,0,P,0
+1001978663.0ns,s7,0,0,R,0
+1001979021.0ns,s7,0,0,P,0
+1001979141.0ns,s7,0,0,R,0
+1001979142.0ns,s7,0,0,P,0
+1001979143.0ns,s7,0,0,R,0
+1001979628.0ns,s7,0,0,P,0
+1001979629.0ns,s7,0,0,R,0
+1001979868.0ns,s7,0,0,P,0
+1001979988.0ns,s7,0,0,R,0
+1001979989.0ns,s7,0,0,P,0
+1001980228.0ns,s7,0,0,R,0
+1001980229.0ns,s7,0,0,P,0
+1001981586.0ns,s13,0,0,R,0
+1001982275.0ns,s5,0,0,P,0
+1001982276.0ns,s5,0,0,R,0
+1001982396.0ns,s5,0,0,P,0
+1001983562.0ns,s7,0,0,R,0
+1001985513.0ns,s13,0,0,P,0
+1001986562.0ns,s5,0,0,R,0
+1001988553.0ns,s7,0,0,P,0
+1001988554.0ns,s7,0,0,R,0
+1001988560.0ns,s7,0,0,P,0
+1001989586.0ns,s13,0,0,R,0
+1001990490.0ns,s5,0,0,P,0
+1001990610.0ns,s5,0,0,R,0
+1001990611.0ns,s5,0,0,P,0
+1001992295.0ns,s7,0,0,R,0
+1001993605.0ns,s13,0,0,P,0
+1001995134.0ns,s5,0,0,R,0
+1001997866.0ns,s7,0,0,P,0
+1001997888.0ns,s7,0,0,R,0
+1001997985.0ns,s7,0,0,P,0
+1001997986.0ns,s7,0,0,R,0
+1001998192.0ns,s7,0,0,P,0
+1001998193.0ns,s7,0,0,R,0
+1001998223.0ns,s7,0,0,P,0
+1001998674.0ns,s13,0,0,R,0
+1001999419.0ns,s5,0,0,P,0
+1001999420.0ns,s5,0,0,R,0
+1001999659.0ns,s5,0,0,P,0
+1001999779.0ns,s5,0,0,R,0
+1001999780.0ns,s5,0,0,P,0
+1002001815.0ns,s7,0,0,R,0
+1002002698.0ns,s13,0,0,P,0
+1002004422.0ns,s5,0,0,R,0
+1002007474.0ns,s7,0,0,P,0
+1002007922.0ns,s13,0,0,R,0
+1002008641.0ns,s5,0,0,P,0
+1002008642.0ns,s5,0,0,R,0
+1002008762.0ns,s5,0,0,P,0
+1002011125.0ns,s7,0,0,R,0
+1002011574.0ns,s13,0,0,P,0
+1002013166.0ns,s5,0,0,R,0
+1002015439.0ns,s7,0,0,P,0
+1002015440.0ns,s7,0,0,R,0
+1002015560.0ns,s7,0,0,P,0
+1002016937.0ns,s13,0,0,R,0
+1002017213.0ns,s5,0,0,P,0
+1002017214.0ns,s5,0,0,R,0
+1002017334.0ns,s5,0,0,P,0
+1002020120.0ns,s13,0,0,P,0
+1002020311.0ns,s7,0,0,R,0
+1002021619.0ns,s5,0,0,R,0
+1002024454.0ns,s7,0,0,P,0
+1002025238.0ns,s13,0,0,R,0
+1002025666.0ns,s5,0,0,P,0
+1002025786.0ns,s5,0,0,R,0
+1002025787.0ns,s5,0,0,P,0
+1002026759.0ns,s15,0,0,P,0
+1002028454.0ns,s13,0,0,P,0
+1002028734.0ns,s7,0,0,R,0
+1002030310.0ns,s5,0,0,R,0
+1002031995.0ns,s15,0,0,R,0
+1002033115.0ns,s7,0,0,P,0
+1002033186.0ns,s7,0,0,R,0
+1002033234.0ns,s7,0,0,P,0
+1002034476.0ns,s5,0,0,P,0
+1002034596.0ns,s5,0,0,R,0
+1002034597.0ns,s5,0,0,P,0
+1002035191.0ns,s13,0,0,R,0
+1002036495.0ns,s15,0,0,P,0
+1002037311.0ns,s13,0,0,P,0
+1002037708.0ns,s7,0,0,R,0
+1002038802.0ns,s5,0,0,R,0
+1002040801.0ns,s15,0,0,R,0
+1002041851.0ns,s7,0,0,P,0
+1002042849.0ns,s5,0,0,P,0
+1002042850.0ns,s5,0,0,R,0
+1002042970.0ns,s5,0,0,P,0
+1002043492.0ns,s13,0,0,R,0
+1002044944.0ns,s15,0,0,P,0
+1002045850.0ns,s13,0,0,P,0
+1002046062.0ns,s7,0,0,R,0
+1002047374.0ns,s5,0,0,R,0
+1002049086.0ns,s15,0,0,R,0
+1002050324.0ns,s7,0,0,P,0
+1002051421.0ns,s5,0,0,P,0
+1002051422.0ns,s5,0,0,R,0
+1002051542.0ns,s5,0,0,P,0
+1002051551.0ns,s13,0,0,R,0
+1002053369.0ns,s15,0,0,P,0
