Time,Node,PortIndex,RxByte
+1000000000.0ns,s42,0,0
+1000100000.0ns,s42,0,0
+1000200000.0ns,s42,0,0
+1000300000.0ns,s42,0,0
+1000400000.0ns,s42,0,0
+1000500000.0ns,s42,0,510403
+1000600000.0ns,s42,0,2266683
+1000700000.0ns,s42,0,4755456
+1000800000.0ns,s42,0,6738318
+1000900000.0ns,s42,0,8332621
+1001000000.0ns,s42,0,10476572
+1001100000.0ns,s42,0,12908109
+1001200000.0ns,s42,0,14757499
+1001300000.0ns,s42,0,17525722
+1001400000.0ns,s42,0,20802025
+1001500000.0ns,s42,0,22840703
+1001600000.0ns,s42,0,25430833
+1001700000.0ns,s42,0,28303843
+1001800000.0ns,s42,0,31579905
+1001900000.0ns,s42,0,34391022
+1002000000.0ns,s42,0,35771485
+1002100000.0ns,s42,0,37397333
+1002200000.0ns,s42,0,37463723
+1002300000.0ns,s42,0,37463723
+1002400000.0ns,s42,0,40054776
+1002500000.0ns,s42,0,44802764
+1002600000.0ns,s42,0,48457337
+1002700000.0ns,s42,0,51151323
+1002800000.0ns,s42,0,53816325
+1002900000.0ns,s42,0,56622663
+1003000000.0ns,s42,0,59510597
+1003100000.0ns,s42,0,63107093
+1003200000.0ns,s42,0,66572098
+1003300000.0ns,s42,0,67787249
+1003400000.0ns,s42,0,67787249
+1003500000.0ns,s42,0,67787249
+1003600000.0ns,s42,0,67787249
+1003700000.0ns,s42,0,67787249
+1003800000.0ns,s42,0,67787249
+1003900000.0ns,s42,0,67787249
+1004000000.0ns,s42,0,67787249
+1004100000.0ns,s42,0,67787249
+1004200000.0ns,s42,0,72396833
+1004300000.0ns,s42,0,77569361
+1004400000.0ns,s42,0,82742055
+1004500000.0ns,s42,0,86842940
+1004600000.0ns,s42,0,90711669
+1004700000.0ns,s42,0,94496254
+1004800000.0ns,s42,0,99018794
+1004900000.0ns,s42,0,104056131
+1005000000.0ns,s42,0,108817710
+1005100000.0ns,s42,0,109188210
+1005200000.0ns,s42,0,109188210
+1005300000.0ns,s42,0,109188210
+1005400000.0ns,s42,0,109188210
+1005500000.0ns,s42,0,109188210
+1005600000.0ns,s42,0,109188210
+1005700000.0ns,s42,0,109188210
+1005800000.0ns,s42,0,109188210
+1005900000.0ns,s42,0,109188210
+1006000000.0ns,s42,0,109188210
+1006100000.0ns,s42,0,109188210
+1006200000.0ns,s42,0,109188210
+1006300000.0ns,s42,0,109188210
+1006400000.0ns,s42,0,109188210
+1006500000.0ns,s42,0,109188210
+1006600000.0ns,s42,0,109188210
+1006700000.0ns,s42,0,109188210
+1006800000.0ns,s42,0,109188210
+1006900000.0ns,s42,0,109188210
+1007000000.0ns,s42,0,109188210
+1007100000.0ns,s42,0,109188210
+1007200000.0ns,s42,0,109188210
+1007300000.0ns,s42,0,109188210
+1007400000.0ns,s42,0,109188210
+1007500000.0ns,s42,0,109188210
+1007600000.0ns,s42,0,110515662
+1007700000.0ns,s42,0,115687375
+1007800000.0ns,s42,0,120860743
+1007900000.0ns,s42,0,126033460
+1008000000.0ns,s42,0,131205660
+1008100000.0ns,s42,0,136377507
+1008200000.0ns,s42,0,141550156
+1008300000.0ns,s42,0,146723426
+1008400000.0ns,s42,0,151868356
+1008500000.0ns,s42,0,156912617
+1008600000.0ns,s42,0,158659307
+1008700000.0ns,s42,0,158659307
+1008800000.0ns,s42,0,158659307
+1008900000.0ns,s42,0,158659307
+1009000000.0ns,s42,0,158659307
+1009100000.0ns,s42,0,158659307
+1009200000.0ns,s42,0,158659307
+1009300000.0ns,s42,0,158659307
+1009400000.0ns,s42,0,158659307
+1009500000.0ns,s42,0,158659307
+1009600000.0ns,s42,0,158659307
+1009700000.0ns,s42,0,158659307
+1009800000.0ns,s42,0,158659307
+1009900000.0ns,s42,0,158659307
+1010000000.0ns,s42,0,158659307
+1010100000.0ns,s42,0,158659307
+1010200000.0ns,s42,0,158659307
+1010300000.0ns,s42,0,158659307
+1010400000.0ns,s42,0,158659307
+1010500000.0ns,s42,0,160514259
+1010600000.0ns,s42,0,165687152
+1010700000.0ns,s42,0,170860380
+1010800000.0ns,s42,0,176032895
+1010900000.0ns,s42,0,181206017
+1011000000.0ns,s42,0,186377756
+1011100000.0ns,s42,0,191550216
+1011200000.0ns,s42,0,196723603
+1011300000.0ns,s42,0,201479256
+1011400000.0ns,s42,0,203646933
+1011500000.0ns,s42,0,203646933
+1011600000.0ns,s42,0,203646933
+1011700000.0ns,s42,0,203646933
+1011800000.0ns,s42,0,203646933
+1011900000.0ns,s42,0,203646933
+1012000000.0ns,s42,0,203646933
+1012100000.0ns,s42,0,203646933
+1012200000.0ns,s42,0,203646933
+1012300000.0ns,s42,0,203646933
+1012400000.0ns,s42,0,203646933
+1012500000.0ns,s42,0,203646933
+1012600000.0ns,s42,0,203646933
+1012700000.0ns,s42,0,203646933
+1012800000.0ns,s42,0,203646933
+1012900000.0ns,s42,0,206756893
+1013000000.0ns,s42,0,211319544
+1013100000.0ns,s42,0,215575788
+1013200000.0ns,s42,0,219830667
+1013300000.0ns,s42,0,224252953
+1013400000.0ns,s42,0,228656052
+1013500000.0ns,s42,0,233080432
+1013600000.0ns,s42,0,237447701
+1013700000.0ns,s42,0,241670582
+1013800000.0ns,s42,0,245927503
+1013900000.0ns,s42,0,250215330
+1014000000.0ns,s42,0,254424872
+1014100000.0ns,s42,0,257816126
+1014200000.0ns,s42,0,261400349
+1014300000.0ns,s42,0,264999586
+1014400000.0ns,s42,0,268663127
+1014500000.0ns,s42,0,272253277
+1014600000.0ns,s42,0,275603619
+1014700000.0ns,s42,0,278900887
+1014800000.0ns,s42,0,282362035
+1014900000.0ns,s42,0,285925171
+1015000000.0ns,s42,0,289209573
+1015100000.0ns,s42,0,292391173
+1015200000.0ns,s42,0,295540232
+1015300000.0ns,s42,0,298914007
+1015400000.0ns,s42,0,302171344
+1015500000.0ns,s42,0,305226888
+1015600000.0ns,s42,0,308303936
+1015700000.0ns,s42,0,311406961
+1015800000.0ns,s42,0,314311336
+1015900000.0ns,s42,0,314311336
+1016000000.0ns,s42,0,314311336
+1016100000.0ns,s42,0,314311336
+1016200000.0ns,s42,0,314311336
+1016300000.0ns,s42,0,314311336
+1016400000.0ns,s42,0,314311336
+1016500000.0ns,s42,0,314311336
+1016600000.0ns,s42,0,314311336
+1016700000.0ns,s42,0,314311336
+1016800000.0ns,s42,0,317028503
+1016900000.0ns,s42,0,320923665
+1017000000.0ns,s42,0,324474787
+1017100000.0ns,s42,0,327998882
+1017200000.0ns,s42,0,331356412
+1017300000.0ns,s42,0,334598883
+1017400000.0ns,s42,0,337724765
+1017500000.0ns,s42,0,340874419
+1017600000.0ns,s42,0,344217400
+1017700000.0ns,s42,0,347450223
+1017800000.0ns,s42,0,350819043
+1017900000.0ns,s42,0,355412816
+1018000000.0ns,s42,0,360268087
+1018100000.0ns,s42,0,364425933
+1018200000.0ns,s42,0,368348507
+1018300000.0ns,s42,0,372486274
+1018400000.0ns,s42,0,376776955
+1018500000.0ns,s42,0,381482183
+1018600000.0ns,s42,0,386048733
+1018700000.0ns,s42,0,390416883
+1018800000.0ns,s42,0,394283788
+1018900000.0ns,s42,0,397887120
+1019000000.0ns,s42,0,401360795
+1019100000.0ns,s42,0,404888793
+1019200000.0ns,s42,0,408391968
+1019300000.0ns,s42,0,412085733
+1019400000.0ns,s42,0,412178733
+1019500000.0ns,s42,0,412178733
+1019600000.0ns,s42,0,414095726
+1019700000.0ns,s42,0,419252470
+1019800000.0ns,s42,0,423438232
+1019900000.0ns,s42,0,427403330
+1020000000.0ns,s42,0,431315892
+1020100000.0ns,s42,0,434943261
+1020200000.0ns,s42,0,438552419
+1020300000.0ns,s42,0,442238367
+1020400000.0ns,s42,0,445970246
+1020500000.0ns,s42,0,449903997
+1020600000.0ns,s42,0,453980097
+1020700000.0ns,s42,0,458093850
+1020800000.0ns,s42,0,462256139
+1020900000.0ns,s42,0,466382443
+1021000000.0ns,s42,0,470414704
+1021100000.0ns,s42,0,474384831
+1021200000.0ns,s42,0,478503039
+1021300000.0ns,s42,0,482774406
+1021400000.0ns,s42,0,487046956
+1021500000.0ns,s42,0,491105752
+1021600000.0ns,s42,0,492735960
+1021700000.0ns,s42,0,493089822
+1021800000.0ns,s42,0,493089822
+1021900000.0ns,s42,0,493089822
+1022000000.0ns,s42,0,493089822
+1022100000.0ns,s42,0,493089822
+1022200000.0ns,s42,0,493089822
+1022300000.0ns,s42,0,493089822
+1022400000.0ns,s42,0,493089822
+1022500000.0ns,s42,0,493089822
+1022600000.0ns,s42,0,493089822
+1022700000.0ns,s42,0,493089822
+1022800000.0ns,s42,0,493089822
+1022900000.0ns,s42,0,493089822
+1023000000.0ns,s42,0,493089822
+1023100000.0ns,s42,0,493089822
+1023200000.0ns,s42,0,493089822
+1023300000.0ns,s42,0,493089822
+1023400000.0ns,s42,0,493089822
+1023500000.0ns,s42,0,494911160
+1023600000.0ns,s42,0,499956646
+1023700000.0ns,s42,0,504294957
+1023800000.0ns,s42,0,508472072
+1023900000.0ns,s42,0,512944406
+1024000000.0ns,s42,0,517683288
+1024100000.0ns,s42,0,521999879
+1024200000.0ns,s42,0,526425837
+1024300000.0ns,s42,0,530824719
+1024400000.0ns,s42,0,535343440
+1024500000.0ns,s42,0,539772755
+1024600000.0ns,s42,0,544356249
+1024700000.0ns,s42,0,548958895
+1024800000.0ns,s42,0,553344839
+1024900000.0ns,s42,0,557607338
+1025000000.0ns,s42,0,561718255
+1025100000.0ns,s42,0,565909055
+1025200000.0ns,s42,0,570389413
+1025300000.0ns,s42,0,574686079
+1025400000.0ns,s42,0,575522996
+1025500000.0ns,s42,0,575522996
+1025600000.0ns,s42,0,575522996
+1025700000.0ns,s42,0,575522996
+1025800000.0ns,s42,0,575522996
+1025900000.0ns,s42,0,575522996
+1026000000.0ns,s42,0,575522996
+1026100000.0ns,s42,0,575522996
+1026200000.0ns,s42,0,575522996
+1026300000.0ns,s42,0,575522996
+1026400000.0ns,s42,0,575522996
+1026500000.0ns,s42,0,575522996
+1026600000.0ns,s42,0,575522996
+1026700000.0ns,s42,0,575522996
+1026800000.0ns,s42,0,575522996
+1026900000.0ns,s42,0,575522996
+1027000000.0ns,s42,0,575522996
+1027100000.0ns,s42,0,575522996
+1027200000.0ns,s42,0,575522996
+1027300000.0ns,s42,0,575522996
+1027400000.0ns,s42,0,575522996
+1027500000.0ns,s42,0,575522996
+1027600000.0ns,s42,0,578234682
+1027700000.0ns,s42,0,583408515
+1027800000.0ns,s42,0,588580798
+1027900000.0ns,s42,0,593652805
+1028000000.0ns,s42,0,598275299
+1028100000.0ns,s42,0,602805751
+1028200000.0ns,s42,0,607484968
+1028300000.0ns,s42,0,612309128
+1028400000.0ns,s42,0,616925217
+1028500000.0ns,s42,0,619112311
+1028600000.0ns,s42,0,619112311
+1028700000.0ns,s42,0,619112311
+1028800000.0ns,s42,0,619112311
+1028900000.0ns,s42,0,619112311
+1029000000.0ns,s42,0,619112311
+1029100000.0ns,s42,0,619112311
+1029200000.0ns,s42,0,619112311
+1029300000.0ns,s42,0,619112311
+1029400000.0ns,s42,0,620348455
+1029500000.0ns,s42,0,625522413
+1029600000.0ns,s42,0,630694604
+1029700000.0ns,s42,0,635866654
+1029800000.0ns,s42,0,641039465
+1029900000.0ns,s42,0,645649772
+1030000000.0ns,s42,0,650431745
+1030100000.0ns,s42,0,655239016
+1030200000.0ns,s42,0,659833965
+1030300000.0ns,s42,0,664247698
+1030400000.0ns,s42,0,666892162
+1030500000.0ns,s42,0,666892162
+1030600000.0ns,s42,0,666892162
+1030700000.0ns,s42,0,666892162
+1030800000.0ns,s42,0,666892162
+1030900000.0ns,s42,0,666892162
+1031000000.0ns,s42,0,666892162
+1031100000.0ns,s42,0,666892162
+1031200000.0ns,s42,0,666892162
+1031300000.0ns,s42,0,666892162
+1031400000.0ns,s42,0,666892162
+1031500000.0ns,s42,0,666892162
+1031600000.0ns,s42,0,666892162
+1031700000.0ns,s42,0,666892162
+1031800000.0ns,s42,0,666892162
