Time,Node,IfIndex,qIndex,PfcType,Time
+1001435194.0ns,s41,0,0,P,0
+1001435216.0ns,s41,0,0,R,0
+1001435228.0ns,s41,0,0,P,0
+1001653529.0ns,s4,0,0,P,0
+1001655111.0ns,s41,0,0,R,0
+1001660041.0ns,s4,0,0,R,0
+1006366720.0ns,s41,0,0,P,0
+1006366729.0ns,s41,0,0,R,0
+1006366749.0ns,s41,0,0,P,0
+1006390647.0ns,s4,0,0,P,0
+1006551816.0ns,s41,0,0,R,0
+1006553310.0ns,s4,0,0,R,0
+1009130906.0ns,s41,0,0,P,0
+1009130927.0ns,s41,0,0,R,0
+1009130935.0ns,s41,0,0,P,0
+1009530461.0ns,s41,0,0,R,0
+1009530538.0ns,s41,0,0,P,0
+1009530566.0ns,s41,0,0,R,0
+1012422584.0ns,s41,0,0,P,0
+1012422584.0ns,s41,0,0,R,0
+1012422613.0ns,s41,0,0,P,0
+1012422633.0ns,s41,0,0,R,0
+1012422642.0ns,s41,0,0,P,0
+1012446524.0ns,s3,0,0,P,0
+1012446548.0ns,s4,0,0,P,0
+1012629042.0ns,s6,0,0,P,0
+1012832806.0ns,s2,0,0,P,0
+1012920913.0ns,s41,0,0,R,0
+1012922900.0ns,s3,0,0,R,0
+1012922929.0ns,s4,0,0,R,0
+1012925924.0ns,s6,0,0,R,0
+1012934587.0ns,s2,0,0,R,0
+1013253769.0ns,s6,0,0,P,0
+1013253789.0ns,s6,0,0,R,0
+1013253888.0ns,s6,0,0,P,0
+1013253908.0ns,s6,0,0,R,0
+1013254007.0ns,s6,0,0,P,0
+1013254027.0ns,s6,0,0,R,0
+1013254126.0ns,s6,0,0,P,0
+1013254146.0ns,s6,0,0,R,0
+1013254245.0ns,s6,0,0,P,0
+1013254265.0ns,s6,0,0,R,0
+1013254364.0ns,s6,0,0,P,0
+1013257002.0ns,s6,0,0,R,0
+1013266857.0ns,s6,0,0,P,0
+1013266879.0ns,s6,0,0,R,0
+1013266976.0ns,s6,0,0,P,0
+1013266998.0ns,s6,0,0,R,0
+1013267095.0ns,s6,0,0,P,0
+1013267117.0ns,s6,0,0,R,0
+1013267214.0ns,s6,0,0,P,0
+1013267236.0ns,s6,0,0,R,0
+1013267333.0ns,s6,0,0,P,0
+1013267355.0ns,s6,0,0,R,0
+1013267452.0ns,s6,0,0,P,0
+1013270092.0ns,s6,0,0,R,0
+1013279947.0ns,s6,0,0,P,0
+1013279969.0ns,s6,0,0,R,0
+1013280066.0ns,s6,0,0,P,0
+1013280088.0ns,s6,0,0,R,0
+1013280185.0ns,s6,0,0,P,0
+1013280207.0ns,s6,0,0,R,0
+1013280304.0ns,s6,0,0,P,0
+1013280326.0ns,s6,0,0,R,0
+1013280423.0ns,s6,0,0,P,0
+1013280445.0ns,s6,0,0,R,0
+1013280542.0ns,s6,0,0,P,0
+1013283182.0ns,s6,0,0,R,0
+1013293037.0ns,s6,0,0,P,0
+1013293059.0ns,s6,0,0,R,0
+1013293156.0ns,s6,0,0,P,0
+1013293178.0ns,s6,0,0,R,0
+1013293275.0ns,s6,0,0,P,0
+1013293297.0ns,s6,0,0,R,0
+1013293394.0ns,s6,0,0,P,0
+1013293416.0ns,s6,0,0,R,0
+1013293513.0ns,s6,0,0,P,0
+1013293535.0ns,s6,0,0,R,0
+1013293632.0ns,s6,0,0,P,0
+1013296272.0ns,s6,0,0,R,0
+1013392194.0ns,s12,0,0,P,0
+1013403989.0ns,s12,0,0,R,0
+1013413011.0ns,s12,0,0,P,0
+1013413033.0ns,s12,0,0,R,0
+1013413130.0ns,s12,0,0,P,0
+1013416841.0ns,s12,0,0,R,0
+1013422293.0ns,s12,0,0,P,0
+1013422315.0ns,s12,0,0,R,0
+1013422412.0ns,s12,0,0,P,0
+1013426123.0ns,s12,0,0,R,0
+1013431575.0ns,s12,0,0,P,0
+1013431597.0ns,s12,0,0,R,0
+1013431694.0ns,s12,0,0,P,0
+1013435405.0ns,s12,0,0,R,0
+1013440619.0ns,s12,0,0,P,0
+1013440641.0ns,s12,0,0,R,0
+1013440738.0ns,s12,0,0,P,0
+1013440879.0ns,s12,0,0,R,0
+1013440976.0ns,s12,0,0,P,0
+1013444449.0ns,s12,0,0,R,0
+1013449663.0ns,s12,0,0,P,0
+1013449685.0ns,s12,0,0,R,0
+1013449782.0ns,s12,0,0,P,0
+1013453493.0ns,s12,0,0,R,0
+1013458945.0ns,s12,0,0,P,0
+1013458967.0ns,s12,0,0,R,0
+1013459064.0ns,s12,0,0,P,0
+1013462775.0ns,s12,0,0,R,0
+1013467989.0ns,s12,0,0,P,0
+1013468011.0ns,s12,0,0,R,0
+1013468108.0ns,s12,0,0,P,0
+1013468249.0ns,s12,0,0,R,0
+1013468346.0ns,s12,0,0,P,0
+1013471462.0ns,s12,0,0,R,0
+1013478699.0ns,s12,0,0,P,0
+1013478721.0ns,s12,0,0,R,0
+1013478818.0ns,s12,0,0,P,0
+1013482529.0ns,s12,0,0,R,0
+1013487981.0ns,s12,0,0,P,0
+1013488003.0ns,s12,0,0,R,0
+1013488100.0ns,s12,0,0,P,0
+1013491811.0ns,s12,0,0,R,0
+1013498691.0ns,s12,0,0,P,0
+1013498713.0ns,s12,0,0,R,0
+1013498810.0ns,s12,0,0,P,0
+1013502997.0ns,s12,0,0,R,0
+1013507021.0ns,s12,0,0,P,0
+1013507043.0ns,s12,0,0,R,0
+1013507140.0ns,s12,0,0,P,0
+1013511327.0ns,s12,0,0,R,0
+1013515351.0ns,s12,0,0,P,0
+1013515373.0ns,s12,0,0,R,0
+1013515470.0ns,s12,0,0,P,0
+1013518943.0ns,s12,0,0,R,0
+1013524871.0ns,s12,0,0,P,0
+1013524893.0ns,s12,0,0,R,0
+1013524990.0ns,s12,0,0,P,0
+1013529177.0ns,s12,0,0,R,0
+1013533201.0ns,s12,0,0,P,0
+1013533223.0ns,s12,0,0,R,0
+1013533320.0ns,s12,0,0,P,0
+1013537507.0ns,s12,0,0,R,0
+1013541531.0ns,s12,0,0,P,0
+1013541553.0ns,s12,0,0,R,0
+1013541650.0ns,s12,0,0,P,0
+1013543814.0ns,s12,0,0,R,0
+1013563427.0ns,s12,0,0,P,0
+1013563482.0ns,s12,0,0,R,0
+1013563546.0ns,s12,0,0,P,0
+1013563601.0ns,s12,0,0,R,0
+1013563665.0ns,s12,0,0,P,0
+1013563720.0ns,s12,0,0,R,0
+1013563784.0ns,s12,0,0,P,0
+1013563839.0ns,s12,0,0,R,0
+1013563903.0ns,s12,0,0,P,0
+1013566576.0ns,s12,0,0,R,0
