FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h6,h20,2,12,231,0,+1001777156.0ns,+1002744279.0ns,967123
h9,h5,1,6,542,0,+1002739002.0ns,+1002746814.0ns,7812
h21,h28,3,7,704,0,+1002745266.0ns,+1002752201.0ns,6935
h10,h4,1,4,75930,0,+1002733019.0ns,+1002752253.0ns,19234
h11,h20,2,13,583,0,+1001557827.0ns,+1002752758.0ns,1194931
h23,h32,3,6,70766,0,+1002727874.0ns,+1002756211.0ns,28337
h16,h4,1,6,531,0,+1002749842.0ns,+1002758289.0ns,8447
h1,h21,2,6,43713,0,+1001611297.0ns,+1002759423.0ns,1148126
h14,h20,2,8,287,0,+1001943660.0ns,+1002761400.0ns,817740
h18,h29,3,4,505,0,+1002755768.0ns,+1002762032.0ns,6264
h8,h6,1,2,1620828,0,+1002213436.0ns,+1002762151.0ns,548715
h23,h17,3,6,34755,0,+1002750882.0ns,+1002762424.0ns,11542
h7,h16,1,6,70766,0,+1002727874.0ns,+1002765976.0ns,38102
h10,h21,2,10,389,0,+1001654862.0ns,+1002768636.0ns,1113774
h31,h24,3,7,608,0,+1002731414.0ns,+1002769188.0ns,37774
h27,h21,3,8,496,0,+1002645279.0ns,+1002769492.0ns,124213
h11,h3,1,3,95829,0,+1002706526.0ns,+1002770565.0ns,64039
h32,h22,3,6,356,0,+1002445301.0ns,+1002770579.0ns,325278
h5,h12,1,7,704,0,+1002745266.0ns,+1002771472.0ns,26206
h3,h23,2,4,915,0,+1001693814.0ns,+1002774335.0ns,1080521
h30,h26,3,4,118956,0,+1002734610.0ns,+1002775072.0ns,40462
h6,h9,1,1,12740,0,+1002142275.0ns,+1002778509.0ns,636234
h19,h32,3,11,93991,0,+1002761419.0ns,+1002779916.0ns,18497
h7,h16,1,7,546,0,+1002774259.0ns,+1002780541.0ns,6282
h23,h32,3,7,546,0,+1002774259.0ns,+1002781748.0ns,7489
h27,h18,3,8,163802,0,+1002750253.0ns,+1002782011.0ns,31758
h25,h21,3,4,888,0,+1002375979.0ns,+1002784349.0ns,408370
h20,h27,3,8,734,0,+1002778609.0ns,+1002785146.0ns,6537
h6,h23,2,9,662,0,+1002058459.0ns,+1002785183.0ns,726724
h22,h24,3,8,4239,0,+1002782762.0ns,+1002787578.0ns,4816
h12,h23,2,10,201,0,+1001945077.0ns,+1002787903.0ns,842826
h4,h14,1,5,46825,0,+1002083070.0ns,+1002792763.0ns,709693
h13,h20,2,9,622,0,+1001971967.0ns,+1002794481.0ns,822514
h30,h26,3,5,49,0,+1002788778.0ns,+1002794826.0ns,6048
h4,h16,1,7,630,0,+1002669919.0ns,+1002795253.0ns,125334
h2,h6,1,5,861,0,+1002682078.0ns,+1002795333.0ns,113255
h13,h23,2,14,151587,0,+1002140357.0ns,+1002796279.0ns,655922
h25,h20,3,6,487,0,+1002441908.0ns,+1002798993.0ns,357085
h30,h32,3,6,354,0,+1002788440.0ns,+1002802328.0ns,13888
h11,h23,2,6,49878,0,+1001702937.0ns,+1002802543.0ns,1099606
h4,h22,2,6,505,0,+1001726256.0ns,+1002802580.0ns,1076324
h18,h24,3,5,12128,0,+1002794094.0ns,+1002802707.0ns,8613
h14,h16,1,6,354,0,+1002788440.0ns,+1002803179.0ns,14739
h15,h11,1,4,546,0,+1002662868.0ns,+1002803262.0ns,140394
h20,h32,3,8,751,0,+1002797529.0ns,+1002804026.0ns,6497
h25,h22,3,9,370,0,+1002472142.0ns,+1002806301.0ns,334159
h27,h25,3,12,986,0,+1002789396.0ns,+1002806449.0ns,17053
h11,h23,2,7,852,0,+1001965361.0ns,+1002806907.0ns,841546
h12,h22,2,8,1144,0,+1001574983.0ns,+1002809710.0ns,1234727
h11,h22,2,3,898,0,+1001735520.0ns,+1002811315.0ns,1075795
h11,h21,2,6,351,0,+1001520726.0ns,+1002811739.0ns,1291013
h19,h28,3,6,6474,0,+1002798564.0ns,+1002812384.0ns,13820
h20,h24,3,4,48588,0,+1002782393.0ns,+1002812529.0ns,30136
h13,h22,2,7,670,0,+1002005506.0ns,+1002813783.0ns,808277
h7,h11,1,5,1676,0,+1002807452.0ns,+1002814188.0ns,6736
h23,h27,3,5,1676,0,+1002807452.0ns,+1002814274.0ns,6822
h2,h22,2,5,546,0,+1001555246.0ns,+1002814726.0ns,1259480
h14,h21,2,10,720,0,+1001448474.0ns,+1002816905.0ns,1368431
h13,h21,2,8,442,0,+1001927015.0ns,+1002817706.0ns,890691
h1,h3,1,5,1632,0,+1002813753.0ns,+1002818320.0ns,4567
h17,h19,3,5,1632,0,+1002813753.0ns,+1002818351.0ns,4598
h14,h10,1,5,49,0,+1002788778.0ns,+1002818592.0ns,29814
h7,h8,1,6,5090,0,+1002816856.0ns,+1002819395.0ns,2539
h23,h24,3,6,5090,0,+1002816856.0ns,+1002819407.0ns,2551
h32,h30,3,6,330,0,+1002816520.0ns,+1002820640.0ns,4120
h31,h20,3,4,53943,0,+1002420447.0ns,+1002821408.0ns,400961
h12,h3,1,5,404,0,+1002812112.0ns,+1002823936.0ns,11824
h6,h8,1,8,4239,0,+1002782762.0ns,+1002824596.0ns,41834
h4,h22,2,5,37323,0,+1001660253.0ns,+1002824706.0ns,1164453
h13,h23,2,16,676,0,+1002234506.0ns,+1002826720.0ns,592214
h9,h21,2,13,356,0,+1001901795.0ns,+1002826839.0ns,925044
h16,h14,1,6,330,0,+1002816520.0ns,+1002828222.0ns,11702
h9,h23,2,8,620,0,+1001721422.0ns,+1002829103.0ns,1107681
h14,h23,2,11,6115,0,+1002236340.0ns,+1002829484.0ns,593144
h15,h20,2,10,302,0,+1001492939.0ns,+1002834274.0ns,1341335
h25,h28,3,16,295364,0,+1002775938.0ns,+1002834328.0ns,58390
h20,h29,3,10,575,0,+1002819485.0ns,+1002835295.0ns,15810
h19,h17,3,7,247936,0,+1002794889.0ns,+1002835985.0ns,41096
h22,h24,3,9,104,0,+1002833393.0ns,+1002837526.0ns,4133
h20,h28,3,7,1204,0,+1002816880.0ns,+1002837574.0ns,20694
h6,h8,1,9,104,0,+1002833393.0ns,+1002837628.0ns,4235
h13,h23,2,9,312,0,+1001675573.0ns,+1002838730.0ns,1163157
h5,h22,2,13,596,0,+1002131332.0ns,+1002838778.0ns,707446
h27,h22,3,6,221,0,+1002520259.0ns,+1002839129.0ns,318870
h31,h32,3,6,680,0,+1002838734.0ns,+1002840850.0ns,2116
h15,h16,1,6,680,0,+1002838734.0ns,+1002840878.0ns,2144
h6,h22,2,12,483,0,+1002137041.0ns,+1002843759.0ns,706718
h19,h22,3,7,532,0,+1002526440.0ns,+1002843974.0ns,317534
h7,h20,2,10,290,0,+1001529183.0ns,+1002844039.0ns,1314856
h24,h26,3,5,652,0,+1002840238.0ns,+1002846771.0ns,6533
h32,h29,3,10,952,0,+1002843003.0ns,+1002847323.0ns,4320
h8,h10,1,5,652,0,+1002840238.0ns,+1002847343.0ns,7105
h16,h13,1,10,952,0,+1002843003.0ns,+1002847368.0ns,4365
h22,h28,3,6,329,0,+1002839299.0ns,+1002849126.0ns,9827
h2,h20,2,7,1428,0,+1001547763.0ns,+1002850654.0ns,1302891
h5,h23,2,8,268,0,+1002115566.0ns,+1002850871.0ns,735305
h13,h21,2,10,790,0,+1002169478.0ns,+1002851108.0ns,681630
h15,h8,1,7,608,0,+1002731414.0ns,+1002851620.0ns,120206
h17,h25,3,6,658133,0,+1002718370.0ns,+1002852550.0ns,134180
h16,h23,2,7,218,0,+1002263378.0ns,+1002852799.0ns,589421
h28,h19,3,5,404,0,+1002812112.0ns,+1002857490.0ns,45378
h16,h4,1,8,686,0,+1002850494.0ns,+1002857622.0ns,7128
h12,h20,2,9,324,0,+1001743476.0ns,+1002858147.0ns,1114671
h3,h1,1,7,247936,0,+1002794889.0ns,+1002862381.0ns,67492
h14,h21,2,21,492,0,+1002213272.0ns,+1002862933.0ns,649661
h11,h9,1,12,986,0,+1002789396.0ns,+1002866374.0ns,76978
h28,h26,3,6,109882,0,+1002833516.0ns,+1002866703.0ns,33187
h4,h22,2,4,41283,0,+1001560701.0ns,+1002866899.0ns,1306198
h14,h21,2,15,1528,0,+1001972577.0ns,+1002866905.0ns,894328
h1,h22,2,9,233,0,+1001767993.0ns,+1002867992.0ns,1099999
h30,h29,3,8,41145,0,+1002860370.0ns,+1002868572.0ns,8202
h17,h32,3,4,884,0,+1002861757.0ns,+1002869448.0ns,7691
h21,h20,3,6,91861,0,+1002454763.0ns,+1002869882.0ns,415119
h14,h13,1,8,41145,0,+1002860370.0ns,+1002873706.0ns,13336
h14,h12,1,9,313,0,+1002865686.0ns,+1002875785.0ns,10099
h2,h13,1,4,505,0,+1002755768.0ns,+1002875838.0ns,120070
h24,h25,3,5,368,0,+1002870331.0ns,+1002876665.0ns,6334
h30,h28,3,9,313,0,+1002865686.0ns,+1002877703.0ns,12017
h4,h11,1,8,734,0,+1002778609.0ns,+1002880555.0ns,101946
h5,h7,1,7,49472,0,+1002838677.0ns,+1002880997.0ns,42320
h11,h5,1,9,453,0,+1002843995.0ns,+1002884591.0ns,40596
h6,h12,1,6,329,0,+1002839299.0ns,+1002885015.0ns,45716
h29,h30,3,8,194932,0,+1002869502.0ns,+1002887790.0ns,18288
h27,h26,3,5,1117,0,+1002883539.0ns,+1002887936.0ns,4397
h8,h9,1,5,368,0,+1002870331.0ns,+1002888206.0ns,17875
h22,h24,3,10,54345,0,+1002862677.0ns,+1002890229.0ns,27552
h11,h10,1,5,1117,0,+1002883539.0ns,+1002890377.0ns,6838
h24,h29,3,6,67739,0,+1002873246.0ns,+1002890800.0ns,17554
h12,h10,1,6,109882,0,+1002833516.0ns,+1002891982.0ns,58466
h24,h20,3,3,195,0,+1002508244.0ns,+1002893431.0ns,385187
h8,h23,2,10,105029,0,+1001708592.0ns,+1002894061.0ns,1185469
h6,h1,1,4,1230303,0,+1001894497.0ns,+1002895744.0ns,1001247
h17,h26,3,4,91545,0,+1002877536.0ns,+1002895807.0ns,18271
h15,h21,2,4,1302,0,+1002261191.0ns,+1002896547.0ns,635356
h12,h5,1,7,605,0,+1002889946.0ns,+1002896746.0ns,6800
h21,h23,3,7,49472,0,+1002838677.0ns,+1002898284.0ns,59607
h24,h31,3,5,16351,0,+1002889770.0ns,+1002898426.0ns,8656
h20,h32,3,9,751,0,+1002881798.0ns,+1002898634.0ns,16836
h5,h11,1,4,48659,0,+1002259113.0ns,+1002899420.0ns,640307
h6,h16,1,6,19385,0,+1002677075.0ns,+1002899658.0ns,222583
h7,h12,1,2,54492,0,+1002873240.0ns,+1002900649.0ns,27409
h21,h22,3,10,588,0,+1002899504.0ns,+1002901611.0ns,2107
h32,h28,3,2,71820,0,+1002867167.0ns,+1002903127.0ns,35960
h18,h24,3,6,342,0,+1002897358.0ns,+1002903780.0ns,6422
h8,h4,1,6,408,0,+1002886323.0ns,+1002907252.0ns,20929
h20,h32,3,10,894,0,+1002901320.0ns,+1002907770.0ns,6450
h27,h29,3,5,318,0,+1002904534.0ns,+1002910708.0ns,6174
h21,h29,3,10,964,0,+1002905916.0ns,+1002912403.0ns,6487
h11,h2,1,8,163802,0,+1002750253.0ns,+1002912433.0ns,162180
h23,h28,3,2,54492,0,+1002873240.0ns,+1002912469.0ns,39229
h8,h13,1,6,67739,0,+1002873246.0ns,+1002912506.0ns,39260
h31,h24,3,8,534,0,+1002906463.0ns,+1002912927.0ns,6464
h20,h29,3,11,720,0,+1002906901.0ns,+1002913267.0ns,6366
h19,h26,3,9,655,0,+1002908183.0ns,+1002914521.0ns,6338
h21,h32,3,5,679,0,+1002908206.0ns,+1002914623.0ns,6417
h11,h20,2,16,646,0,+1001760023.0ns,+1002915151.0ns,1155128
h3,h12,1,6,6474,0,+1002798564.0ns,+1002915980.0ns,117416
h11,h22,2,6,31636,0,+1002000402.0ns,+1002916034.0ns,915632
h6,h8,1,10,54345,0,+1002862677.0ns,+1002918418.0ns,55741
h12,h3,1,6,1642,0,+1002911586.0ns,+1002918455.0ns,6869
h12,h11,1,7,381,0,+1002916469.0ns,+1002918933.0ns,2464
h23,h24,3,7,178525,0,+1002901731.0ns,+1002919096.0ns,17365
h4,h13,1,10,575,0,+1002819485.0ns,+1002919321.0ns,99836
h11,h16,1,9,672,0,+1002913286.0ns,+1002919752.0ns,6466
h30,h28,3,8,201834,0,+1002861057.0ns,+1002919937.0ns,58880
h15,h8,1,8,534,0,+1002906463.0ns,+1002920039.0ns,13576
h17,h27,3,8,100239,0,+1002900233.0ns,+1002920623.0ns,20390
h30,h28,3,10,203,0,+1002892412.0ns,+1002920921.0ns,28509
h28,h19,3,6,1642,0,+1002911586.0ns,+1002921216.0ns,9630
h26,h27,3,7,57896,0,+1002909189.0ns,+1002923286.0ns,14097
h26,h29,3,4,823,0,+1002917567.0ns,+1002924088.0ns,6521
h10,h11,1,7,57896,0,+1002909189.0ns,+1002925141.0ns,15952
h7,h8,1,7,178525,0,+1002901731.0ns,+1002926094.0ns,24363
h11,h22,2,4,1069,0,+1001833912.0ns,+1002926467.0ns,1092555
h5,h20,2,15,562,0,+1001882406.0ns,+1002926569.0ns,1044163
h20,h18,3,6,346,0,+1002922945.0ns,+1002927187.0ns,4242
h14,h20,2,7,26767,0,+1001512651.0ns,+1002927819.0ns,1415168
h27,h17,3,6,690,0,+1002909513.0ns,+1002928462.0ns,18949
h27,h32,3,9,672,0,+1002913286.0ns,+1002929094.0ns,15808
h20,h30,3,7,309,0,+1002923172.0ns,+1002929593.0ns,6421
h17,h25,3,7,593,0,+1002925238.0ns,+1002931643.0ns,6405
h31,h24,3,9,325,0,+1002908741.0ns,+1002932436.0ns,23695
h28,h27,3,7,381,0,+1002916469.0ns,+1002933230.0ns,16761
h31,h30,3,4,69307,0,+1002918650.0ns,+1002933916.0ns,15266
h4,h12,1,7,1204,0,+1002816880.0ns,+1002935288.0ns,118408
h21,h22,3,11,465,0,+1002934289.0ns,+1002936371.0ns,2082
h15,h14,1,4,69307,0,+1002918650.0ns,+1002937097.0ns,18447
h10,h13,1,4,823,0,+1002917567.0ns,+1002937604.0ns,20037
h4,h2,1,6,346,0,+1002922945.0ns,+1002938427.0ns,15482
h22,h27,3,7,868,0,+1002932180.0ns,+1002938739.0ns,6559
h18,h24,3,7,359,0,+1002917908.0ns,+1002939402.0ns,21494
h28,h21,3,6,579,0,+1002519219.0ns,+1002941113.0ns,421894
h30,h22,3,5,710,0,+1002626765.0ns,+1002942211.0ns,315446
h14,h23,2,8,123857,0,+1001688229.0ns,+1002942945.0ns,1254716
h15,h3,1,13,309,0,+1002923374.0ns,+1002944419.0ns,21045
h29,h21,3,9,636,0,+1002522346.0ns,+1002946194.0ns,423848
h5,h6,1,10,588,0,+1002899504.0ns,+1002946713.0ns,47209
h11,h1,1,6,690,0,+1002909513.0ns,+1002946899.0ns,37386
h5,h6,1,11,465,0,+1002934289.0ns,+1002948011.0ns,13722
h28,h18,3,7,56962,0,+1002921261.0ns,+1002949571.0ns,28310
h3,h21,2,7,43911,0,+1001673760.0ns,+1002949814.0ns,1276054
h8,h6,1,4,330,0,+1002947273.0ns,+1002951637.0ns,4364
h24,h21,3,7,730,0,+1002531167.0ns,+1002953288.0ns,422121
h30,h28,3,11,345,0,+1002947311.0ns,+1002953882.0ns,6571
h11,h20,2,18,404,0,+1001798612.0ns,+1002953891.0ns,1155279
h13,h14,1,8,194932,0,+1002869502.0ns,+1002955804.0ns,86302
h31,h24,3,10,344,0,+1002949611.0ns,+1002955816.0ns,6205
h11,h4,1,9,749419,0,+1002536387.0ns,+1002957484.0ns,421097
h12,h2,1,7,56962,0,+1002921261.0ns,+1002958338.0ns,37077
h11,h13,1,5,318,0,+1002904534.0ns,+1002960273.0ns,55739
h29,h17,3,8,343,0,+1002954660.0ns,+1002961004.0ns,6344
h13,h1,1,8,343,0,+1002954660.0ns,+1002961444.0ns,6784
h28,h17,3,8,48372,0,+1002947531.0ns,+1002961701.0ns,14170
h31,h18,3,7,76436,0,+1002949776.0ns,+1002966796.0ns,17020
h15,h2,1,7,76436,0,+1002949776.0ns,+1002966866.0ns,17090
h26,h22,3,2,491,0,+1002648019.0ns,+1002967924.0ns,319905
h19,h21,3,9,44669,0,+1002826748.0ns,+1002969554.0ns,142806
h23,h19,3,6,874,0,+1002963121.0ns,+1002970123.0ns,7002
h15,h8,1,10,344,0,+1002949611.0ns,+1002971088.0ns,21477
h29,h17,3,9,690,0,+1002966645.0ns,+1002973050.0ns,6405
h14,h12,1,11,345,0,+1002947311.0ns,+1002973051.0ns,25740
h12,h1,1,8,48372,0,+1002947531.0ns,+1002973994.0ns,26463
h27,h30,3,6,5403,0,+1002966932.0ns,+1002974091.0ns,7159
h22,h24,3,11,878,0,+1002969833.0ns,+1002974339.0ns,4506
h6,h8,1,11,878,0,+1002969833.0ns,+1002974367.0ns,4534
h31,h19,3,13,309,0,+1002923374.0ns,+1002975115.0ns,51741
h32,h30,3,7,543,0,+1002973135.0ns,+1002977323.0ns,4188
h16,h14,1,7,543,0,+1002973135.0ns,+1002977370.0ns,4235
h27,h21,3,7,594,0,+1002545073.0ns,+1002977462.0ns,432389
h16,h4,1,9,429,0,+1002946805.0ns,+1002978275.0ns,31470
h14,h4,1,11,70,0,+1002960802.0ns,+1002978284.0ns,17482
h18,h29,3,5,323,0,+1002973513.0ns,+1002980030.0ns,6517
h12,h1,1,9,51798,0,+1002950826.0ns,+1002980988.0ns,30162
h5,h13,1,9,505455,0,+1002642168.0ns,+1002981516.0ns,339348
h13,h1,1,9,690,0,+1002966645.0ns,+1002982122.0ns,15477
h7,h3,1,6,874,0,+1002963121.0ns,+1002982302.0ns,19181
h20,h31,3,2,9748100,0,+1001341927.0ns,+1002983516.0ns,1641589
h3,h21,2,6,1461,0,+1001589877.0ns,+1002984818.0ns,1394941
h30,h29,3,9,424,0,+1002982781.0ns,+1002984857.0ns,2076
h14,h13,1,9,424,0,+1002982781.0ns,+1002984905.0ns,2124
h30,h20,3,10,674,0,+1002565198.0ns,+1002984965.0ns,419767
h5,h16,1,5,679,0,+1002908206.0ns,+1002985924.0ns,77718
h6,h11,1,7,868,0,+1002932180.0ns,+1002986042.0ns,53862
h1,h16,1,2,22174,0,+1002605380.0ns,+1002987422.0ns,382042
h29,h32,3,3,51,0,+1002977472.0ns,+1002988431.0ns,10959
h15,h1,1,9,426,0,+1002979583.0ns,+1002990623.0ns,11040
h22,h18,3,10,695,0,+1002984542.0ns,+1002990896.0ns,6354
h13,h16,1,3,51,0,+1002977472.0ns,+1002991062.0ns,13590
h6,h2,1,10,695,0,+1002984542.0ns,+1002991846.0ns,7304
h7,h1,1,7,726,0,+1002985961.0ns,+1002992383.0ns,6422
h16,h4,1,7,709792,0,+1002779062.0ns,+1002992435.0ns,213373
h20,h28,3,8,540,0,+1002986778.0ns,+1002993062.0ns,6284
h5,h13,1,10,964,0,+1002905916.0ns,+1002994105.0ns,88189
h18,h22,3,5,861,0,+1002682078.0ns,+1002995064.0ns,312986
h13,h23,2,11,41879,0,+1001712757.0ns,+1002996468.0ns,1283711
h17,h28,3,8,313,0,+1002990307.0ns,+1002996791.0ns,6484
h28,h17,3,9,51798,0,+1002950826.0ns,+1002997624.0ns,46798
h4,h16,1,9,751,0,+1002881798.0ns,+1002997876.0ns,116078
h17,h20,3,4,45614,0,+1002576733.0ns,+1002999564.0ns,422831
h3,h21,2,8,310,0,+1001775640.0ns,+1003000069.0ns,1224429
h27,h31,3,11,921,0,+1002994308.0ns,+1003000770.0ns,6462
h15,h7,1,5,37068,0,+1002966198.0ns,+1003000997.0ns,34799
h26,h30,3,4,61152,0,+1002981648.0ns,+1003002298.0ns,20650
h26,h25,3,5,581,0,+1003002716.0ns,+1003004879.0ns,2163
h10,h9,1,5,581,0,+1003002716.0ns,+1003004924.0ns,2208
h19,h21,3,8,267,0,+1002570438.0ns,+1003005470.0ns,435032
h17,h24,3,2,86273,0,+1002970448.0ns,+1003006115.0ns,35667
h6,h3,1,5,567,0,+1003000118.0ns,+1003006757.0ns,6639
