Time,Node,PortIndex,DropPacket
+1006800000.0ns,s27,0,275
+1006800000.0ns,s27,1,261
+1006900000.0ns,s27,0,275
+1006900000.0ns,s27,1,1102
+1007000000.0ns,s27,0,275
+1007000000.0ns,s27,1,1942
+1007100000.0ns,s27,0,982
+1007100000.0ns,s27,1,2075
+1007200000.0ns,s27,0,1100
+1007200000.0ns,s27,1,2080
+1007300000.0ns,s27,0,1100
+1007300000.0ns,s27,1,2080
+1007400000.0ns,s27,0,1100
+1007400000.0ns,s27,1,2080
+1007500000.0ns,s27,0,1100
+1007500000.0ns,s27,1,2080
+1007600000.0ns,s27,0,1100
+1007600000.0ns,s27,1,2080
+1007700000.0ns,s27,0,1100
+1007700000.0ns,s27,1,2080
+1007800000.0ns,s27,0,1100
+1007800000.0ns,s27,1,2080
+1007900000.0ns,s27,0,1100
+1007900000.0ns,s27,1,2080
+1008000000.0ns,s27,0,1100
+1008000000.0ns,s27,1,2080
+1008100000.0ns,s27,0,1100
+1008100000.0ns,s27,1,2080
+1008200000.0ns,s27,0,1100
+1008200000.0ns,s27,1,2080
+1008300000.0ns,s27,0,1100
+1008300000.0ns,s27,1,2080
+1008400000.0ns,s27,0,1100
+1008400000.0ns,s27,1,2080
+1008500000.0ns,s27,0,1100
+1008500000.0ns,s27,1,2080
+1008600000.0ns,s27,0,1100
+1008600000.0ns,s27,1,2080
+1008700000.0ns,s27,0,1100
+1008700000.0ns,s27,1,2080
+1008800000.0ns,s27,0,1100
+1008800000.0ns,s27,1,2080
+1008900000.0ns,s27,0,1100
+1008900000.0ns,s27,1,2080
+1009000000.0ns,s27,0,1100
+1009000000.0ns,s27,1,2080
+1009100000.0ns,s27,0,1100
+1009100000.0ns,s27,1,2080
+1009200000.0ns,s27,0,1100
+1009200000.0ns,s27,1,2080
+1009300000.0ns,s27,0,1100
+1009300000.0ns,s27,1,2080
+1009400000.0ns,s27,0,1100
+1009400000.0ns,s27,1,2080
+1009500000.0ns,s27,0,1100
+1009500000.0ns,s27,1,2080
+1009600000.0ns,s27,0,1100
+1009600000.0ns,s27,1,2080
+1009700000.0ns,s27,0,1100
+1009700000.0ns,s27,1,2080
+1009800000.0ns,s27,0,1100
+1009800000.0ns,s27,1,2080
+1009900000.0ns,s27,0,1100
+1009900000.0ns,s27,1,2080
+1010000000.0ns,s27,0,1100
+1010000000.0ns,s27,1,2080
+1010100000.0ns,s27,0,1100
+1010100000.0ns,s27,1,2080
+1010200000.0ns,s27,0,1100
+1010200000.0ns,s27,1,2080
+1010300000.0ns,s27,0,1100
+1010300000.0ns,s27,1,2080
+1010400000.0ns,s27,0,1100
+1010400000.0ns,s27,1,2080
+1010500000.0ns,s27,0,1100
+1010500000.0ns,s27,1,2080
+1010600000.0ns,s27,0,1100
+1010600000.0ns,s27,1,2080
+1010700000.0ns,s27,0,1100
+1010700000.0ns,s27,1,2080
+1010800000.0ns,s27,0,1100
+1010800000.0ns,s27,1,2080
+1010900000.0ns,s27,0,1100
+1010900000.0ns,s27,1,2080
+1011000000.0ns,s27,0,1100
+1011000000.0ns,s27,1,2080
+1011100000.0ns,s27,0,1100
+1011100000.0ns,s27,1,2080
