Time,Node,PortIndex,DropPacket
+1008300000.0ns,s28,3,1102
+1008300000.0ns,s35,0,2083
+1008300000.0ns,s35,1,3384
+1008400000.0ns,s1,1,3933
+1008400000.0ns,s1,2,2665
+1008400000.0ns,s1,3,2454
+1008400000.0ns,s6,2,5863
+1008400000.0ns,s6,3,5029
+1008400000.0ns,s21,0,271
+1008400000.0ns,s21,3,251
+1008400000.0ns,s28,0,909
+1008400000.0ns,s28,1,1330
+1008400000.0ns,s28,3,1102
+1008400000.0ns,s35,0,2099
+1008400000.0ns,s35,1,3412
+1008500000.0ns,s1,1,4344
+1008500000.0ns,s1,2,2926
+1008500000.0ns,s1,3,2675
+1008500000.0ns,s6,2,6178
+1008500000.0ns,s6,3,5338
+1008500000.0ns,s21,0,271
+1008500000.0ns,s21,3,251
+1008500000.0ns,s28,0,909
+1008500000.0ns,s28,1,1330
+1008500000.0ns,s28,3,1102
+1008500000.0ns,s35,0,2099
+1008500000.0ns,s35,1,3412
+1008600000.0ns,s1,1,4564
+1008600000.0ns,s1,2,3168
+1008600000.0ns,s1,3,2927
+1008600000.0ns,s6,2,6485
+1008600000.0ns,s6,3,5676
+1008600000.0ns,s21,0,271
+1008600000.0ns,s21,3,251
+1008600000.0ns,s9,2,82
+1008600000.0ns,s9,3,199
+1008600000.0ns,s28,0,909
+1008600000.0ns,s28,1,1330
+1008600000.0ns,s28,3,1102
+1008600000.0ns,s35,0,2145
+1008600000.0ns,s35,1,3431
+1008600000.0ns,s35,3,45
+1008700000.0ns,s1,1,4690
+1008700000.0ns,s1,2,3332
+1008700000.0ns,s1,3,3070
+1008700000.0ns,s6,2,6715
+1008700000.0ns,s6,3,5898
+1008700000.0ns,s21,0,271
+1008700000.0ns,s21,3,251
+1008700000.0ns,s9,2,521
+1008700000.0ns,s9,3,316
+1008700000.0ns,s28,0,909
+1008700000.0ns,s28,1,1330
+1008700000.0ns,s28,3,1102
+1008700000.0ns,s35,0,2145
+1008700000.0ns,s35,1,3431
+1008700000.0ns,s35,3,45
+1008800000.0ns,s1,1,5052
+1008800000.0ns,s1,2,3667
+1008800000.0ns,s1,3,3420
+1008800000.0ns,s6,2,6715
+1008800000.0ns,s6,3,5898
+1008800000.0ns,s21,0,271
+1008800000.0ns,s21,3,251
+1008800000.0ns,s9,2,741
+1008800000.0ns,s9,3,610
+1008800000.0ns,s28,0,909
+1008800000.0ns,s28,1,1330
+1008800000.0ns,s28,3,1102
+1008800000.0ns,s35,0,2145
+1008800000.0ns,s35,1,3431
+1008800000.0ns,s35,3,45
+1008900000.0ns,s1,1,5752
+1008900000.0ns,s1,2,4102
+1008900000.0ns,s1,3,3803
+1008900000.0ns,s6,2,6872
+1008900000.0ns,s6,3,5988
+1008900000.0ns,s21,0,271
+1008900000.0ns,s21,3,251
+1008900000.0ns,s9,2,907
+1008900000.0ns,s9,3,1063
+1008900000.0ns,s28,0,909
+1008900000.0ns,s28,1,1330
+1008900000.0ns,s28,3,1102
+1008900000.0ns,s35,0,2145
+1008900000.0ns,s35,1,3431
+1008900000.0ns,s35,3,45
+1009000000.0ns,s1,1,6288
+1009000000.0ns,s1,2,4518
+1009000000.0ns,s1,3,4201
+1009000000.0ns,s6,2,7268
+1009000000.0ns,s6,3,6384
+1009000000.0ns,s21,0,357
+1009000000.0ns,s21,1,59
+1009000000.0ns,s21,3,251
+1009000000.0ns,s9,2,1351
+1009000000.0ns,s9,3,1255
+1009000000.0ns,s28,0,909
+1009000000.0ns,s28,1,1330
+1009000000.0ns,s28,3,1102
+1009000000.0ns,s35,0,2145
+1009000000.0ns,s35,1,3431
+1009000000.0ns,s35,3,45
+1009100000.0ns,s1,1,6687
+1009100000.0ns,s1,2,4998
+1009100000.0ns,s1,3,4599
+1009100000.0ns,s6,2,7433
+1009100000.0ns,s6,3,6508
+1009100000.0ns,s21,0,409
+1009100000.0ns,s21,4,1
+1009100000.0ns,s21,1,126
+1009100000.0ns,s21,3,251
+1009100000.0ns,s9,2,1708
+1009100000.0ns,s9,3,1518
+1009100000.0ns,s28,0,909
+1009100000.0ns,s28,1,1330
+1009100000.0ns,s28,3,1102
+1009100000.0ns,s35,0,2302
+1009100000.0ns,s35,1,3504
+1009100000.0ns,s35,3,45
+1009200000.0ns,s1,1,7142
+1009200000.0ns,s1,2,5463
+1009200000.0ns,s1,3,4893
+1009200000.0ns,s6,2,7598
+1009200000.0ns,s6,3,6651
+1009200000.0ns,s21,0,478
+1009200000.0ns,s21,4,1
+1009200000.0ns,s21,1,246
+1009200000.0ns,s21,3,251
+1009200000.0ns,s9,2,2123
+1009200000.0ns,s9,3,1873
+1009200000.0ns,s28,0,909
+1009200000.0ns,s28,1,1330
+1009200000.0ns,s28,3,1102
+1009200000.0ns,s35,0,2388
+1009200000.0ns,s35,1,3563
+1009200000.0ns,s35,3,45
+1009300000.0ns,s1,1,7198
+1009300000.0ns,s1,2,5845
+1009300000.0ns,s1,3,5169
+1009300000.0ns,s6,2,7598
+1009300000.0ns,s6,3,6651
+1009300000.0ns,s21,0,821
+1009300000.0ns,s21,4,1
+1009300000.0ns,s21,1,527
+1009300000.0ns,s21,3,564
+1009300000.0ns,s9,2,2460
+1009300000.0ns,s9,3,2326
+1009300000.0ns,s28,0,909
+1009300000.0ns,s28,1,1330
+1009300000.0ns,s28,3,1102
