Time,Node,PortIndex,DropPacket
+1014700000.0ns,s34,1,181
+1014800000.0ns,s34,1,427
+1014900000.0ns,s34,1,427
+1015000000.0ns,s34,1,427
+1015100000.0ns,s34,1,427
+1015200000.0ns,s34,1,427
+1015300000.0ns,s34,1,427
+1015400000.0ns,s34,1,427
+1015500000.0ns,s34,1,427
+1015600000.0ns,s34,1,427
+1015700000.0ns,s34,1,427
+1015800000.0ns,s34,1,427
+1015900000.0ns,s34,0,159
+1015900000.0ns,s34,1,661
+1015900000.0ns,s34,2,122
+1016000000.0ns,s34,0,547
+1016000000.0ns,s34,1,1013
+1016000000.0ns,s34,2,152
+1016100000.0ns,s3,4,215
+1016100000.0ns,s3,1,199
+1016100000.0ns,s3,2,140
+1016100000.0ns,s34,0,961
+1016100000.0ns,s34,1,1414
+1016100000.0ns,s34,2,152
+1016200000.0ns,s3,4,373
+1016200000.0ns,s3,1,350
+1016200000.0ns,s3,2,225
+1016200000.0ns,s34,0,1680
+1016200000.0ns,s34,1,1522
+1016200000.0ns,s34,2,152
+1016300000.0ns,s3,4,373
+1016300000.0ns,s3,1,350
+1016300000.0ns,s3,2,225
+1016300000.0ns,s34,0,2429
+1016300000.0ns,s34,1,1611
+1016300000.0ns,s34,2,152
+1016400000.0ns,s3,4,373
+1016400000.0ns,s3,1,350
+1016400000.0ns,s3,2,225
+1016400000.0ns,s34,0,2696
+1016400000.0ns,s34,1,2229
+1016400000.0ns,s34,2,152
+1016500000.0ns,s3,4,373
+1016500000.0ns,s3,1,350
+1016500000.0ns,s3,2,225
+1016500000.0ns,s34,0,2757
+1016500000.0ns,s34,1,2748
+1016500000.0ns,s34,2,152
+1016600000.0ns,s3,4,373
+1016600000.0ns,s3,1,350
+1016600000.0ns,s3,2,225
+1016600000.0ns,s34,0,2845
+1016600000.0ns,s34,1,2782
+1016600000.0ns,s34,2,152
+1016700000.0ns,s3,4,373
+1016700000.0ns,s3,1,350
+1016700000.0ns,s3,2,225
+1016700000.0ns,s34,0,2845
+1016700000.0ns,s34,1,2782
+1016700000.0ns,s34,2,152
+1016800000.0ns,s3,4,373
+1016800000.0ns,s3,1,350
+1016800000.0ns,s3,2,225
+1016800000.0ns,s34,0,2845
