FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h31,h28,3,10,308,0,+1005095292.0ns,+1005109494.0ns,14202
h14,h21,2,16,646,0,+1002017973.0ns,+1005110009.0ns,3092036
h3,h21,2,10,341,0,+1001944605.0ns,+1005116430.0ns,3171825
h25,h29,3,17,1015,0,+1005081076.0ns,+1005117156.0ns,36080
h15,h22,2,17,504,0,+1002952550.0ns,+1005120164.0ns,2167614
h27,h23,3,14,667,0,+1005101722.0ns,+1005121976.0ns,20254
h22,h19,3,9,532,0,+1005117069.0ns,+1005124748.0ns,7679
h25,h30,3,9,1532,0,+1005118533.0ns,+1005125257.0ns,6724
h21,h32,3,14,207,0,+1005120453.0ns,+1005126573.0ns,6120
h32,h17,3,10,590,0,+1005120447.0ns,+1005126851.0ns,6404
h18,h19,3,10,23700,0,+1004944533.0ns,+1005127673.0ns,183140
h17,h27,3,14,496,0,+1005123876.0ns,+1005130170.0ns,6294
h25,h20,3,7,226141,0,+1002904451.0ns,+1005131709.0ns,2227258
h16,h8,1,6,5947,0,+1003590359.0ns,+1005132322.0ns,1541963
h23,h17,3,12,441,0,+1005125852.0ns,+1005132391.0ns,6539
h6,h22,2,20,609,0,+1003015700.0ns,+1005134814.0ns,2119114
h19,h26,3,12,977,0,+1005128125.0ns,+1005135340.0ns,7215
h31,h19,3,19,932,0,+1004778742.0ns,+1005136871.0ns,358129
h18,h29,3,7,345,0,+1005107463.0ns,+1005139414.0ns,31951
h31,h30,3,8,346,0,+1005135394.0ns,+1005139518.0ns,4124
h24,h30,3,17,109453,0,+1004698468.0ns,+1005144620.0ns,446152
h20,h19,3,16,519,0,+1005145935.0ns,+1005148025.0ns,2090
h29,h26,3,17,412,0,+1005141905.0ns,+1005148225.0ns,6320
h2,h3,1,8,795,0,+1003674080.0ns,+1005151497.0ns,1477417
h24,h26,3,7,171145,0,+1004413723.0ns,+1005152860.0ns,739137
h24,h26,3,9,48228,0,+1004982600.0ns,+1005154764.0ns,172164
h1,h8,1,4,530,0,+1004157131.0ns,+1005155692.0ns,998561
h19,h28,3,11,3470,0,+1005068171.0ns,+1005159297.0ns,91126
h19,h18,3,4,86297,0,+1005147041.0ns,+1005159540.0ns,12499
h28,h21,3,10,675,0,+1003245273.0ns,+1005160869.0ns,1915596
h15,h20,2,14,658,0,+1002431282.0ns,+1005162162.0ns,2730880
h1,h4,1,8,751,0,+1004965263.0ns,+1005163338.0ns,198075
h16,h15,1,3,4236,0,+1004441825.0ns,+1005165715.0ns,723890
h19,h29,3,13,992152,0,+1004922544.0ns,+1005167442.0ns,244898
h32,h26,3,10,1796,0,+1005160838.0ns,+1005167649.0ns,6811
h18,h28,3,15,620,0,+1005153996.0ns,+1005168703.0ns,14707
h30,h31,3,9,83474,0,+1005138562.0ns,+1005173642.0ns,35080
h24,h22,3,7,60097,0,+1004278081.0ns,+1005173761.0ns,895680
h13,h3,1,9,612,0,+1003880242.0ns,+1005174420.0ns,1294178
