FromNode,ToNode,SourcePort,DestinationPort,Size,Priority,StartTime,EndTime,Duration
h13,h20,2,1,54747,0,+1000604294.0ns,+1001017656.0ns,413362
h8,h22,2,1,25891,0,+1000659709.0ns,+1001070700.0ns,410991
h6,h23,2,1,75678,0,+1000947499.0ns,+1001368790.0ns,421291
h3,h23,2,1,51138,0,+1000996108.0ns,+1001409175.0ns,413067
h12,h23,2,1,30662,0,+1001282415.0ns,+1001693800.0ns,411385
h5,h22,2,1,67676,0,+1001306856.0ns,+1001721293.0ns,414437
h15,h22,2,1,74158,0,+1001758345.0ns,+1002177826.0ns,419481
h10,h21,2,2,28183,0,+1001791975.0ns,+1002203155.0ns,411180
h10,h21,2,1,171512,0,+1001598235.0ns,+1002825833.0ns,1227598
h2,h21,2,1,25050,0,+1002589471.0ns,+1003006532.0ns,417061
h12,h23,2,2,32029,0,+1003385130.0ns,+1003796628.0ns,411498
h13,h21,2,1,6713,0,+1003639857.0ns,+1004050160.0ns,410303
h13,h22,2,1,66648,0,+1003637770.0ns,+1004055641.0ns,417871
h14,h23,2,1,57885,0,+1003756494.0ns,+1004176985.0ns,420491
h14,h22,2,1,346951,0,+1002573327.0ns,+1004635006.0ns,2061679
h1,h20,2,2,67771,0,+1004835434.0ns,+1005249867.0ns,414433
h8,h23,2,1,26049,0,+1004902664.0ns,+1005318782.0ns,416118
h11,h23,2,1,112055,0,+1005075411.0ns,+1005500952.0ns,425541
h1,h23,2,1,287095,0,+1004325079.0ns,+1005569790.0ns,1244711
h1,h22,2,1,936,0,+1005222476.0ns,+1005631127.0ns,408651
h8,h22,2,2,49764,0,+1005400281.0ns,+1005820861.0ns,420580
h12,h21,2,1,76,0,+1005706792.0ns,+1006119156.0ns,412364
h7,h21,2,1,71594,0,+1005779813.0ns,+1006194650.0ns,414837
h8,h23,2,2,24391,0,+1006104390.0ns,+1006515257.0ns,410867
h2,h20,2,1,35040,0,+1006248860.0ns,+1006673521.0ns,424661
h1,h22,2,2,18213,0,+1006307001.0ns,+1006720016.0ns,413015
h13,h23,2,1,144304,0,+1006411775.0ns,+1006846462.0ns,434687
h3,h20,2,1,23861,0,+1006590635.0ns,+1007024326.0ns,433691
h14,h20,2,1,61069,0,+1007447224.0ns,+1007868396.0ns,421172
h8,h22,2,3,5363,0,+1007551581.0ns,+1007968002.0ns,416421
h15,h23,2,1,871871,0,+1003481250.0ns,+1008004213.0ns,4522963
h10,h21,2,3,34010,0,+1007667940.0ns,+1008092326.0ns,424386
h15,h22,2,3,74909,0,+1007863883.0ns,+1008290003.0ns,426120
h11,h20,2,1,7270,0,+1008042422.0ns,+1008453773.0ns,411351
h13,h23,2,2,116458,0,+1008098906.0ns,+1008538013.0ns,439107
h3,h21,2,1,109898,0,+1008207520.0ns,+1008641947.0ns,434427
h10,h21,2,4,97629,0,+1008293946.0ns,+1008735875.0ns,441929
h6,h22,2,2,60382,0,+1008398483.0ns,+1008826954.0ns,428471
h4,h23,2,1,1579544,0,+1000546947.0ns,+1009193254.0ns,8646307
h9,h21,2,2,745225,0,+1005516712.0ns,+1009250793.0ns,3734081
h7,h20,2,2,46980,0,+1008898172.0ns,+1009320992.0ns,422820
h4,h21,2,1,225485,0,+1008338734.0ns,+1009600054.0ns,1261320
h3,h20,2,2,178772,0,+1008379316.0ns,+1009628660.0ns,1249344
h2,h21,2,2,29032,0,+1009323673.0ns,+1009737367.0ns,413694
h12,h21,2,3,17878,0,+1009337087.0ns,+1009752875.0ns,415788
